@RELATION Bado

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_1 {ok}
@ATTRIBUTE step_2 {ok}
@ATTRIBUTE step_7 {ok}
@ATTRIBUTE step_4 {ok}
@ATTRIBUTE step_5 {ok}
@ATTRIBUTE step_6 {ok}
@ATTRIBUTE step_3 {ok}

@DATA
instance_1,1.0,ok,ok,ok,ok,ok,ok,ok
instance_2,1.0,ok,ok,ok,ok,ok,ok,ok
instance_3,1.0,ok,ok,ok,ok,ok,ok,ok
instance_4,1.0,ok,ok,ok,ok,ok,ok,ok
instance_6,1.0,ok,ok,ok,ok,ok,ok,ok
instance_7,1.0,ok,ok,ok,ok,ok,ok,ok
instance_8,1.0,ok,ok,ok,ok,ok,ok,ok
instance_9,1.0,ok,ok,ok,ok,ok,ok,ok
instance_10,1.0,ok,ok,ok,ok,ok,ok,ok
instance_11,1.0,ok,ok,ok,ok,ok,ok,ok
instance_14,1.0,ok,ok,ok,ok,ok,ok,ok
instance_16,1.0,ok,ok,ok,ok,ok,ok,ok
instance_21,1.0,ok,ok,ok,ok,ok,ok,ok
instance_22,1.0,ok,ok,ok,ok,ok,ok,ok
instance_24,1.0,ok,ok,ok,ok,ok,ok,ok
instance_25,1.0,ok,ok,ok,ok,ok,ok,ok
instance_26,1.0,ok,ok,ok,ok,ok,ok,ok
instance_27,1.0,ok,ok,ok,ok,ok,ok,ok
instance_28,1.0,ok,ok,ok,ok,ok,ok,ok
instance_29,1.0,ok,ok,ok,ok,ok,ok,ok
instance_30,1.0,ok,ok,ok,ok,ok,ok,ok
instance_33,1.0,ok,ok,ok,ok,ok,ok,ok
instance_36,1.0,ok,ok,ok,ok,ok,ok,ok
instance_37,1.0,ok,ok,ok,ok,ok,ok,ok
instance_39,1.0,ok,ok,ok,ok,ok,ok,ok
instance_40,1.0,ok,ok,ok,ok,ok,ok,ok
instance_41,1.0,ok,ok,ok,ok,ok,ok,ok
instance_43,1.0,ok,ok,ok,ok,ok,ok,ok
instance_45,1.0,ok,ok,ok,ok,ok,ok,ok
instance_46,1.0,ok,ok,ok,ok,ok,ok,ok
instance_48,1.0,ok,ok,ok,ok,ok,ok,ok
instance_52,1.0,ok,ok,ok,ok,ok,ok,ok
instance_53,1.0,ok,ok,ok,ok,ok,ok,ok
instance_55,1.0,ok,ok,ok,ok,ok,ok,ok
instance_56,1.0,ok,ok,ok,ok,ok,ok,ok
instance_59,1.0,ok,ok,ok,ok,ok,ok,ok
instance_60,1.0,ok,ok,ok,ok,ok,ok,ok
instance_61,1.0,ok,ok,ok,ok,ok,ok,ok
instance_62,1.0,ok,ok,ok,ok,ok,ok,ok
instance_63,1.0,ok,ok,ok,ok,ok,ok,ok
instance_64,1.0,ok,ok,ok,ok,ok,ok,ok
instance_65,1.0,ok,ok,ok,ok,ok,ok,ok
instance_66,1.0,ok,ok,ok,ok,ok,ok,ok
instance_70,1.0,ok,ok,ok,ok,ok,ok,ok
instance_71,1.0,ok,ok,ok,ok,ok,ok,ok
instance_72,1.0,ok,ok,ok,ok,ok,ok,ok
instance_73,1.0,ok,ok,ok,ok,ok,ok,ok
instance_75,1.0,ok,ok,ok,ok,ok,ok,ok
instance_76,1.0,ok,ok,ok,ok,ok,ok,ok
instance_78,1.0,ok,ok,ok,ok,ok,ok,ok
instance_79,1.0,ok,ok,ok,ok,ok,ok,ok
instance_80,1.0,ok,ok,ok,ok,ok,ok,ok
instance_83,1.0,ok,ok,ok,ok,ok,ok,ok
instance_84,1.0,ok,ok,ok,ok,ok,ok,ok
instance_86,1.0,ok,ok,ok,ok,ok,ok,ok
instance_87,1.0,ok,ok,ok,ok,ok,ok,ok
instance_89,1.0,ok,ok,ok,ok,ok,ok,ok
instance_91,1.0,ok,ok,ok,ok,ok,ok,ok
instance_94,1.0,ok,ok,ok,ok,ok,ok,ok
instance_95,1.0,ok,ok,ok,ok,ok,ok,ok
instance_96,1.0,ok,ok,ok,ok,ok,ok,ok
instance_97,1.0,ok,ok,ok,ok,ok,ok,ok
instance_100,1.0,ok,ok,ok,ok,ok,ok,ok
instance_101,1.0,ok,ok,ok,ok,ok,ok,ok
instance_102,1.0,ok,ok,ok,ok,ok,ok,ok
instance_103,1.0,ok,ok,ok,ok,ok,ok,ok
instance_106,1.0,ok,ok,ok,ok,ok,ok,ok
instance_107,1.0,ok,ok,ok,ok,ok,ok,ok
instance_110,1.0,ok,ok,ok,ok,ok,ok,ok
instance_111,1.0,ok,ok,ok,ok,ok,ok,ok
instance_112,1.0,ok,ok,ok,ok,ok,ok,ok
instance_115,1.0,ok,ok,ok,ok,ok,ok,ok
instance_119,1.0,ok,ok,ok,ok,ok,ok,ok
instance_123,1.0,ok,ok,ok,ok,ok,ok,ok
instance_124,1.0,ok,ok,ok,ok,ok,ok,ok
instance_125,1.0,ok,ok,ok,ok,ok,ok,ok
instance_126,1.0,ok,ok,ok,ok,ok,ok,ok
instance_127,1.0,ok,ok,ok,ok,ok,ok,ok
instance_128,1.0,ok,ok,ok,ok,ok,ok,ok
instance_131,1.0,ok,ok,ok,ok,ok,ok,ok
instance_132,1.0,ok,ok,ok,ok,ok,ok,ok
instance_134,1.0,ok,ok,ok,ok,ok,ok,ok
instance_135,1.0,ok,ok,ok,ok,ok,ok,ok
instance_136,1.0,ok,ok,ok,ok,ok,ok,ok
instance_137,1.0,ok,ok,ok,ok,ok,ok,ok
instance_138,1.0,ok,ok,ok,ok,ok,ok,ok
instance_139,1.0,ok,ok,ok,ok,ok,ok,ok
instance_142,1.0,ok,ok,ok,ok,ok,ok,ok
instance_143,1.0,ok,ok,ok,ok,ok,ok,ok
instance_144,1.0,ok,ok,ok,ok,ok,ok,ok
instance_147,1.0,ok,ok,ok,ok,ok,ok,ok
instance_151,1.0,ok,ok,ok,ok,ok,ok,ok
instance_152,1.0,ok,ok,ok,ok,ok,ok,ok
instance_153,1.0,ok,ok,ok,ok,ok,ok,ok
instance_155,1.0,ok,ok,ok,ok,ok,ok,ok
instance_157,1.0,ok,ok,ok,ok,ok,ok,ok
instance_159,1.0,ok,ok,ok,ok,ok,ok,ok
instance_160,1.0,ok,ok,ok,ok,ok,ok,ok
instance_162,1.0,ok,ok,ok,ok,ok,ok,ok
instance_163,1.0,ok,ok,ok,ok,ok,ok,ok
instance_164,1.0,ok,ok,ok,ok,ok,ok,ok
instance_166,1.0,ok,ok,ok,ok,ok,ok,ok
instance_167,1.0,ok,ok,ok,ok,ok,ok,ok
instance_169,1.0,ok,ok,ok,ok,ok,ok,ok
instance_170,1.0,ok,ok,ok,ok,ok,ok,ok
instance_171,1.0,ok,ok,ok,ok,ok,ok,ok
instance_174,1.0,ok,ok,ok,ok,ok,ok,ok
instance_175,1.0,ok,ok,ok,ok,ok,ok,ok
instance_176,1.0,ok,ok,ok,ok,ok,ok,ok
instance_178,1.0,ok,ok,ok,ok,ok,ok,ok
instance_179,1.0,ok,ok,ok,ok,ok,ok,ok
instance_180,1.0,ok,ok,ok,ok,ok,ok,ok
instance_181,1.0,ok,ok,ok,ok,ok,ok,ok
instance_182,1.0,ok,ok,ok,ok,ok,ok,ok
instance_183,1.0,ok,ok,ok,ok,ok,ok,ok
instance_184,1.0,ok,ok,ok,ok,ok,ok,ok
instance_186,1.0,ok,ok,ok,ok,ok,ok,ok
instance_187,1.0,ok,ok,ok,ok,ok,ok,ok
instance_188,1.0,ok,ok,ok,ok,ok,ok,ok
instance_189,1.0,ok,ok,ok,ok,ok,ok,ok
instance_190,1.0,ok,ok,ok,ok,ok,ok,ok
instance_191,1.0,ok,ok,ok,ok,ok,ok,ok
instance_192,1.0,ok,ok,ok,ok,ok,ok,ok
instance_193,1.0,ok,ok,ok,ok,ok,ok,ok
instance_195,1.0,ok,ok,ok,ok,ok,ok,ok
instance_197,1.0,ok,ok,ok,ok,ok,ok,ok
instance_198,1.0,ok,ok,ok,ok,ok,ok,ok
instance_199,1.0,ok,ok,ok,ok,ok,ok,ok
instance_200,1.0,ok,ok,ok,ok,ok,ok,ok
instance_202,1.0,ok,ok,ok,ok,ok,ok,ok
instance_204,1.0,ok,ok,ok,ok,ok,ok,ok
instance_205,1.0,ok,ok,ok,ok,ok,ok,ok
instance_207,1.0,ok,ok,ok,ok,ok,ok,ok
instance_209,1.0,ok,ok,ok,ok,ok,ok,ok
instance_210,1.0,ok,ok,ok,ok,ok,ok,ok
instance_212,1.0,ok,ok,ok,ok,ok,ok,ok
instance_216,1.0,ok,ok,ok,ok,ok,ok,ok
instance_217,1.0,ok,ok,ok,ok,ok,ok,ok
instance_218,1.0,ok,ok,ok,ok,ok,ok,ok
instance_219,1.0,ok,ok,ok,ok,ok,ok,ok
instance_220,1.0,ok,ok,ok,ok,ok,ok,ok
instance_222,1.0,ok,ok,ok,ok,ok,ok,ok
instance_223,1.0,ok,ok,ok,ok,ok,ok,ok
instance_224,1.0,ok,ok,ok,ok,ok,ok,ok
instance_225,1.0,ok,ok,ok,ok,ok,ok,ok
instance_226,1.0,ok,ok,ok,ok,ok,ok,ok
instance_228,1.0,ok,ok,ok,ok,ok,ok,ok
instance_229,1.0,ok,ok,ok,ok,ok,ok,ok
instance_230,1.0,ok,ok,ok,ok,ok,ok,ok
instance_231,1.0,ok,ok,ok,ok,ok,ok,ok
instance_234,1.0,ok,ok,ok,ok,ok,ok,ok
instance_235,1.0,ok,ok,ok,ok,ok,ok,ok
instance_236,1.0,ok,ok,ok,ok,ok,ok,ok
instance_237,1.0,ok,ok,ok,ok,ok,ok,ok
instance_238,1.0,ok,ok,ok,ok,ok,ok,ok
instance_239,1.0,ok,ok,ok,ok,ok,ok,ok
instance_241,1.0,ok,ok,ok,ok,ok,ok,ok
instance_243,1.0,ok,ok,ok,ok,ok,ok,ok
instance_244,1.0,ok,ok,ok,ok,ok,ok,ok
instance_245,1.0,ok,ok,ok,ok,ok,ok,ok
instance_248,1.0,ok,ok,ok,ok,ok,ok,ok
instance_249,1.0,ok,ok,ok,ok,ok,ok,ok
instance_250,1.0,ok,ok,ok,ok,ok,ok,ok
instance_251,1.0,ok,ok,ok,ok,ok,ok,ok
instance_253,1.0,ok,ok,ok,ok,ok,ok,ok
instance_254,1.0,ok,ok,ok,ok,ok,ok,ok
instance_255,1.0,ok,ok,ok,ok,ok,ok,ok
instance_256,1.0,ok,ok,ok,ok,ok,ok,ok
instance_258,1.0,ok,ok,ok,ok,ok,ok,ok
instance_259,1.0,ok,ok,ok,ok,ok,ok,ok
instance_260,1.0,ok,ok,ok,ok,ok,ok,ok
instance_261,1.0,ok,ok,ok,ok,ok,ok,ok
instance_263,1.0,ok,ok,ok,ok,ok,ok,ok
instance_266,1.0,ok,ok,ok,ok,ok,ok,ok
instance_267,1.0,ok,ok,ok,ok,ok,ok,ok
instance_268,1.0,ok,ok,ok,ok,ok,ok,ok
instance_269,1.0,ok,ok,ok,ok,ok,ok,ok
instance_271,1.0,ok,ok,ok,ok,ok,ok,ok
instance_272,1.0,ok,ok,ok,ok,ok,ok,ok
instance_273,1.0,ok,ok,ok,ok,ok,ok,ok
instance_274,1.0,ok,ok,ok,ok,ok,ok,ok
instance_276,1.0,ok,ok,ok,ok,ok,ok,ok
instance_277,1.0,ok,ok,ok,ok,ok,ok,ok
instance_279,1.0,ok,ok,ok,ok,ok,ok,ok
instance_280,1.0,ok,ok,ok,ok,ok,ok,ok
instance_282,1.0,ok,ok,ok,ok,ok,ok,ok
instance_284,1.0,ok,ok,ok,ok,ok,ok,ok
instance_285,1.0,ok,ok,ok,ok,ok,ok,ok
instance_286,1.0,ok,ok,ok,ok,ok,ok,ok
instance_289,1.0,ok,ok,ok,ok,ok,ok,ok
instance_290,1.0,ok,ok,ok,ok,ok,ok,ok
instance_291,1.0,ok,ok,ok,ok,ok,ok,ok
instance_292,1.0,ok,ok,ok,ok,ok,ok,ok
instance_293,1.0,ok,ok,ok,ok,ok,ok,ok
instance_294,1.0,ok,ok,ok,ok,ok,ok,ok
instance_295,1.0,ok,ok,ok,ok,ok,ok,ok
instance_297,1.0,ok,ok,ok,ok,ok,ok,ok
instance_303,1.0,ok,ok,ok,ok,ok,ok,ok
instance_304,1.0,ok,ok,ok,ok,ok,ok,ok
instance_306,1.0,ok,ok,ok,ok,ok,ok,ok
instance_307,1.0,ok,ok,ok,ok,ok,ok,ok
instance_308,1.0,ok,ok,ok,ok,ok,ok,ok
instance_309,1.0,ok,ok,ok,ok,ok,ok,ok
instance_310,1.0,ok,ok,ok,ok,ok,ok,ok
instance_311,1.0,ok,ok,ok,ok,ok,ok,ok
instance_312,1.0,ok,ok,ok,ok,ok,ok,ok
instance_313,1.0,ok,ok,ok,ok,ok,ok,ok
instance_314,1.0,ok,ok,ok,ok,ok,ok,ok
instance_316,1.0,ok,ok,ok,ok,ok,ok,ok
instance_317,1.0,ok,ok,ok,ok,ok,ok,ok
instance_318,1.0,ok,ok,ok,ok,ok,ok,ok
instance_319,1.0,ok,ok,ok,ok,ok,ok,ok
instance_322,1.0,ok,ok,ok,ok,ok,ok,ok
instance_324,1.0,ok,ok,ok,ok,ok,ok,ok
instance_325,1.0,ok,ok,ok,ok,ok,ok,ok
instance_326,1.0,ok,ok,ok,ok,ok,ok,ok
instance_327,1.0,ok,ok,ok,ok,ok,ok,ok
instance_328,1.0,ok,ok,ok,ok,ok,ok,ok
instance_330,1.0,ok,ok,ok,ok,ok,ok,ok
instance_331,1.0,ok,ok,ok,ok,ok,ok,ok
instance_332,1.0,ok,ok,ok,ok,ok,ok,ok
instance_333,1.0,ok,ok,ok,ok,ok,ok,ok
instance_334,1.0,ok,ok,ok,ok,ok,ok,ok
instance_335,1.0,ok,ok,ok,ok,ok,ok,ok
instance_336,1.0,ok,ok,ok,ok,ok,ok,ok
instance_337,1.0,ok,ok,ok,ok,ok,ok,ok
instance_339,1.0,ok,ok,ok,ok,ok,ok,ok
instance_340,1.0,ok,ok,ok,ok,ok,ok,ok
instance_341,1.0,ok,ok,ok,ok,ok,ok,ok
instance_342,1.0,ok,ok,ok,ok,ok,ok,ok
instance_343,1.0,ok,ok,ok,ok,ok,ok,ok
instance_344,1.0,ok,ok,ok,ok,ok,ok,ok
instance_345,1.0,ok,ok,ok,ok,ok,ok,ok
instance_346,1.0,ok,ok,ok,ok,ok,ok,ok
instance_347,1.0,ok,ok,ok,ok,ok,ok,ok
instance_348,1.0,ok,ok,ok,ok,ok,ok,ok
instance_351,1.0,ok,ok,ok,ok,ok,ok,ok
instance_352,1.0,ok,ok,ok,ok,ok,ok,ok
instance_354,1.0,ok,ok,ok,ok,ok,ok,ok
instance_357,1.0,ok,ok,ok,ok,ok,ok,ok
instance_358,1.0,ok,ok,ok,ok,ok,ok,ok
instance_359,1.0,ok,ok,ok,ok,ok,ok,ok
instance_360,1.0,ok,ok,ok,ok,ok,ok,ok
instance_361,1.0,ok,ok,ok,ok,ok,ok,ok
instance_363,1.0,ok,ok,ok,ok,ok,ok,ok
instance_366,1.0,ok,ok,ok,ok,ok,ok,ok
instance_367,1.0,ok,ok,ok,ok,ok,ok,ok
instance_368,1.0,ok,ok,ok,ok,ok,ok,ok
instance_373,1.0,ok,ok,ok,ok,ok,ok,ok
instance_374,1.0,ok,ok,ok,ok,ok,ok,ok
instance_375,1.0,ok,ok,ok,ok,ok,ok,ok
instance_376,1.0,ok,ok,ok,ok,ok,ok,ok
instance_379,1.0,ok,ok,ok,ok,ok,ok,ok
instance_383,1.0,ok,ok,ok,ok,ok,ok,ok
instance_384,1.0,ok,ok,ok,ok,ok,ok,ok
instance_385,1.0,ok,ok,ok,ok,ok,ok,ok
instance_387,1.0,ok,ok,ok,ok,ok,ok,ok
instance_389,1.0,ok,ok,ok,ok,ok,ok,ok
instance_390,1.0,ok,ok,ok,ok,ok,ok,ok
instance_392,1.0,ok,ok,ok,ok,ok,ok,ok
instance_393,1.0,ok,ok,ok,ok,ok,ok,ok
instance_394,1.0,ok,ok,ok,ok,ok,ok,ok
instance_395,1.0,ok,ok,ok,ok,ok,ok,ok
instance_396,1.0,ok,ok,ok,ok,ok,ok,ok
instance_397,1.0,ok,ok,ok,ok,ok,ok,ok
instance_399,1.0,ok,ok,ok,ok,ok,ok,ok
instance_400,1.0,ok,ok,ok,ok,ok,ok,ok
instance_401,1.0,ok,ok,ok,ok,ok,ok,ok
instance_404,1.0,ok,ok,ok,ok,ok,ok,ok
instance_406,1.0,ok,ok,ok,ok,ok,ok,ok
instance_408,1.0,ok,ok,ok,ok,ok,ok,ok
instance_409,1.0,ok,ok,ok,ok,ok,ok,ok
instance_410,1.0,ok,ok,ok,ok,ok,ok,ok
instance_411,1.0,ok,ok,ok,ok,ok,ok,ok
instance_412,1.0,ok,ok,ok,ok,ok,ok,ok
instance_413,1.0,ok,ok,ok,ok,ok,ok,ok
instance_414,1.0,ok,ok,ok,ok,ok,ok,ok
instance_415,1.0,ok,ok,ok,ok,ok,ok,ok
instance_416,1.0,ok,ok,ok,ok,ok,ok,ok
instance_417,1.0,ok,ok,ok,ok,ok,ok,ok
instance_418,1.0,ok,ok,ok,ok,ok,ok,ok
instance_419,1.0,ok,ok,ok,ok,ok,ok,ok
instance_420,1.0,ok,ok,ok,ok,ok,ok,ok
instance_421,1.0,ok,ok,ok,ok,ok,ok,ok
instance_422,1.0,ok,ok,ok,ok,ok,ok,ok
instance_423,1.0,ok,ok,ok,ok,ok,ok,ok
instance_425,1.0,ok,ok,ok,ok,ok,ok,ok
instance_426,1.0,ok,ok,ok,ok,ok,ok,ok
instance_430,1.0,ok,ok,ok,ok,ok,ok,ok
instance_431,1.0,ok,ok,ok,ok,ok,ok,ok
instance_432,1.0,ok,ok,ok,ok,ok,ok,ok
instance_433,1.0,ok,ok,ok,ok,ok,ok,ok
instance_434,1.0,ok,ok,ok,ok,ok,ok,ok
instance_436,1.0,ok,ok,ok,ok,ok,ok,ok
instance_437,1.0,ok,ok,ok,ok,ok,ok,ok
instance_438,1.0,ok,ok,ok,ok,ok,ok,ok
instance_439,1.0,ok,ok,ok,ok,ok,ok,ok
instance_441,1.0,ok,ok,ok,ok,ok,ok,ok
instance_442,1.0,ok,ok,ok,ok,ok,ok,ok
instance_445,1.0,ok,ok,ok,ok,ok,ok,ok
instance_447,1.0,ok,ok,ok,ok,ok,ok,ok
instance_448,1.0,ok,ok,ok,ok,ok,ok,ok
instance_449,1.0,ok,ok,ok,ok,ok,ok,ok
instance_450,1.0,ok,ok,ok,ok,ok,ok,ok
instance_451,1.0,ok,ok,ok,ok,ok,ok,ok
instance_452,1.0,ok,ok,ok,ok,ok,ok,ok
instance_453,1.0,ok,ok,ok,ok,ok,ok,ok
instance_454,1.0,ok,ok,ok,ok,ok,ok,ok
instance_456,1.0,ok,ok,ok,ok,ok,ok,ok
instance_457,1.0,ok,ok,ok,ok,ok,ok,ok
instance_458,1.0,ok,ok,ok,ok,ok,ok,ok
instance_460,1.0,ok,ok,ok,ok,ok,ok,ok
instance_461,1.0,ok,ok,ok,ok,ok,ok,ok
instance_463,1.0,ok,ok,ok,ok,ok,ok,ok
instance_466,1.0,ok,ok,ok,ok,ok,ok,ok
