@RELATION Bado

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout}

@DATA
instance_1,1.0,algorithm_2,28800.0,memout
instance_1,1.0,algorithm_6,28800.0,memout
instance_1,1.0,algorithm_4,204.68,ok
instance_1,1.0,algorithm_7,460.36,ok
instance_1,1.0,algorithm_3,6257.88,ok
instance_1,1.0,algorithm_5,4843.36,ok
instance_1,1.0,algorithm_8,5874.96,ok
instance_1,1.0,algorithm_1,5082.4,ok
instance_2,1.0,algorithm_2,28800.0,memout
instance_2,1.0,algorithm_6,28800.0,memout
instance_2,1.0,algorithm_4,250.68,ok
instance_2,1.0,algorithm_7,430.48,ok
instance_2,1.0,algorithm_3,5968.6,ok
instance_2,1.0,algorithm_5,6473.12,ok
instance_2,1.0,algorithm_8,6224.76,ok
instance_2,1.0,algorithm_1,7299.96,ok
instance_3,1.0,algorithm_2,28800.0,memout
instance_3,1.0,algorithm_6,28800.0,memout
instance_3,1.0,algorithm_4,248.96,ok
instance_3,1.0,algorithm_7,186.0,ok
instance_3,1.0,algorithm_3,5462.28,ok
instance_3,1.0,algorithm_5,6692.16,ok
instance_3,1.0,algorithm_8,5419.24,ok
instance_3,1.0,algorithm_1,8136.52,ok
instance_4,1.0,algorithm_2,28800.0,memout
instance_4,1.0,algorithm_6,28800.0,memout
instance_4,1.0,algorithm_4,184.52,ok
instance_4,1.0,algorithm_7,28800.0,timeout
instance_4,1.0,algorithm_3,15215.2,ok
instance_4,1.0,algorithm_5,16764.8,ok
instance_4,1.0,algorithm_8,28800.0,timeout
instance_4,1.0,algorithm_1,28800.0,timeout
instance_6,1.0,algorithm_2,28800.0,memout
instance_6,1.0,algorithm_6,28800.0,memout
instance_6,1.0,algorithm_4,312.16,ok
instance_6,1.0,algorithm_7,417.04,ok
instance_6,1.0,algorithm_3,6241.68,ok
instance_6,1.0,algorithm_5,6484.32,ok
instance_6,1.0,algorithm_8,5696.44,ok
instance_6,1.0,algorithm_1,5121.32,ok
instance_7,1.0,algorithm_2,28800.0,memout
instance_7,1.0,algorithm_6,28800.0,memout
instance_7,1.0,algorithm_4,81.92,ok
instance_7,1.0,algorithm_7,4.16,ok
instance_7,1.0,algorithm_3,3.2,ok
instance_7,1.0,algorithm_5,10.4,ok
instance_7,1.0,algorithm_8,4.16,ok
instance_7,1.0,algorithm_1,7.28,ok
instance_8,1.0,algorithm_2,28800.0,memout
instance_8,1.0,algorithm_6,28800.0,memout
instance_8,1.0,algorithm_4,2383.56,ok
instance_8,1.0,algorithm_7,13511.36,ok
instance_8,1.0,algorithm_3,12.36,ok
instance_8,1.0,algorithm_5,29.68,ok
instance_8,1.0,algorithm_8,17.84,ok
instance_8,1.0,algorithm_1,28.32,ok
instance_9,1.0,algorithm_2,28800.0,memout
instance_9,1.0,algorithm_6,28800.0,memout
instance_9,1.0,algorithm_4,28800.0,memout
instance_9,1.0,algorithm_7,2957.04,ok
instance_9,1.0,algorithm_3,21.6,ok
instance_9,1.0,algorithm_5,45.2,ok
instance_9,1.0,algorithm_8,32.96,ok
instance_9,1.0,algorithm_1,46.64,ok
instance_10,1.0,algorithm_2,28800.0,memout
instance_10,1.0,algorithm_6,28800.0,memout
instance_10,1.0,algorithm_4,28800.0,memout
instance_10,1.0,algorithm_7,1091.68,ok
instance_10,1.0,algorithm_3,7.52,ok
instance_10,1.0,algorithm_5,33.36,ok
instance_10,1.0,algorithm_8,18.0,ok
instance_10,1.0,algorithm_1,39.88,ok
instance_11,1.0,algorithm_2,28800.0,memout
instance_11,1.0,algorithm_6,28800.0,memout
instance_11,1.0,algorithm_4,28800.0,memout
instance_11,1.0,algorithm_7,28800.0,timeout
instance_11,1.0,algorithm_3,30.04,ok
instance_11,1.0,algorithm_5,59.2,ok
instance_11,1.0,algorithm_8,58.32,ok
instance_11,1.0,algorithm_1,76.16,ok
instance_14,1.0,algorithm_2,28800.0,memout
instance_14,1.0,algorithm_6,28800.0,memout
instance_14,1.0,algorithm_4,28800.0,memout
instance_14,1.0,algorithm_7,28800.0,timeout
instance_14,1.0,algorithm_3,16.6,ok
instance_14,1.0,algorithm_5,33.04,ok
instance_14,1.0,algorithm_8,18.16,ok
instance_14,1.0,algorithm_1,26.2,ok
instance_16,1.0,algorithm_2,28800.0,memout
instance_16,1.0,algorithm_6,28800.0,memout
instance_16,1.0,algorithm_4,28800.0,memout
instance_16,1.0,algorithm_7,28800.0,timeout
instance_16,1.0,algorithm_3,14.6,ok
instance_16,1.0,algorithm_5,32.36,ok
instance_16,1.0,algorithm_8,28.48,ok
instance_16,1.0,algorithm_1,39.92,ok
instance_21,1.0,algorithm_2,28800.0,memout
instance_21,1.0,algorithm_6,28800.0,memout
instance_21,1.0,algorithm_4,28800.0,memout
instance_21,1.0,algorithm_7,28800.0,timeout
instance_21,1.0,algorithm_3,2977.12,ok
instance_21,1.0,algorithm_5,3324.08,ok
instance_21,1.0,algorithm_8,7555.16,ok
instance_21,1.0,algorithm_1,5586.16,ok
instance_22,1.0,algorithm_2,28800.0,memout
instance_22,1.0,algorithm_6,28800.0,memout
instance_22,1.0,algorithm_4,282.64,ok
instance_22,1.0,algorithm_7,534.72,ok
instance_22,1.0,algorithm_3,3226.88,ok
instance_22,1.0,algorithm_5,4351.92,ok
instance_22,1.0,algorithm_8,9642.72,ok
instance_22,1.0,algorithm_1,17768.88,ok
instance_24,1.0,algorithm_2,28800.0,memout
instance_24,1.0,algorithm_6,28800.0,memout
instance_24,1.0,algorithm_4,108.76,ok
instance_24,1.0,algorithm_7,2.24,ok
instance_24,1.0,algorithm_3,0.92,ok
instance_24,1.0,algorithm_5,2.0,ok
instance_24,1.0,algorithm_8,2.68,ok
instance_24,1.0,algorithm_1,3.12,ok
instance_25,1.0,algorithm_2,28800.0,memout
instance_25,1.0,algorithm_6,28800.0,memout
instance_25,1.0,algorithm_4,64.84,ok
instance_25,1.0,algorithm_7,7.96,ok
instance_25,1.0,algorithm_3,8.72,ok
instance_25,1.0,algorithm_5,15.4,ok
instance_25,1.0,algorithm_8,16.2,ok
instance_25,1.0,algorithm_1,16.32,ok
instance_26,1.0,algorithm_2,28800.0,memout
instance_26,1.0,algorithm_6,28800.0,memout
instance_26,1.0,algorithm_4,75.32,ok
instance_26,1.0,algorithm_7,1017.48,ok
instance_26,1.0,algorithm_3,10.68,ok
instance_26,1.0,algorithm_5,16.48,ok
instance_26,1.0,algorithm_8,12.08,ok
instance_26,1.0,algorithm_1,20.52,ok
instance_27,1.0,algorithm_2,28800.0,memout
instance_27,1.0,algorithm_6,28800.0,memout
instance_27,1.0,algorithm_4,48.32,ok
instance_27,1.0,algorithm_7,3920.72,ok
instance_27,1.0,algorithm_3,6.56,ok
instance_27,1.0,algorithm_5,17.96,ok
instance_27,1.0,algorithm_8,10.0,ok
instance_27,1.0,algorithm_1,19.04,ok
instance_28,1.0,algorithm_2,28800.0,memout
instance_28,1.0,algorithm_6,28800.0,memout
instance_28,1.0,algorithm_4,48.56,ok
instance_28,1.0,algorithm_7,4242.6,ok
instance_28,1.0,algorithm_3,4.96,ok
instance_28,1.0,algorithm_5,17.04,ok
instance_28,1.0,algorithm_8,10.2,ok
instance_28,1.0,algorithm_1,23.52,ok
instance_29,1.0,algorithm_2,28800.0,memout
instance_29,1.0,algorithm_6,28800.0,memout
instance_29,1.0,algorithm_4,48.8,ok
instance_29,1.0,algorithm_7,4245.92,ok
instance_29,1.0,algorithm_3,5.92,ok
instance_29,1.0,algorithm_5,20.16,ok
instance_29,1.0,algorithm_8,10.4,ok
instance_29,1.0,algorithm_1,24.84,ok
instance_30,1.0,algorithm_2,28800.0,memout
instance_30,1.0,algorithm_6,28800.0,memout
instance_30,1.0,algorithm_4,60.2,ok
instance_30,1.0,algorithm_7,8321.04,ok
instance_30,1.0,algorithm_3,21.32,ok
instance_30,1.0,algorithm_5,37.36,ok
instance_30,1.0,algorithm_8,37.96,ok
instance_30,1.0,algorithm_1,47.68,ok
instance_33,1.0,algorithm_2,28800.0,memout
instance_33,1.0,algorithm_6,28800.0,memout
instance_33,1.0,algorithm_4,27.76,ok
instance_33,1.0,algorithm_7,28800.0,timeout
instance_33,1.0,algorithm_3,21.16,ok
instance_33,1.0,algorithm_5,42.6,ok
instance_33,1.0,algorithm_8,23.2,ok
instance_33,1.0,algorithm_1,48.0,ok
instance_36,1.0,algorithm_2,28800.0,memout
instance_36,1.0,algorithm_6,28800.0,memout
instance_36,1.0,algorithm_4,345.28,ok
instance_36,1.0,algorithm_7,28800.0,timeout
instance_36,1.0,algorithm_3,834.4,ok
instance_36,1.0,algorithm_5,1292.04,ok
instance_36,1.0,algorithm_8,395.36,ok
instance_36,1.0,algorithm_1,982.64,ok
instance_37,1.0,algorithm_2,28800.0,memout
instance_37,1.0,algorithm_6,28800.0,memout
instance_37,1.0,algorithm_4,602.44,ok
instance_37,1.0,algorithm_7,28800.0,timeout
instance_37,1.0,algorithm_3,1017.92,ok
instance_37,1.0,algorithm_5,1362.8,ok
instance_37,1.0,algorithm_8,796.96,ok
instance_37,1.0,algorithm_1,868.2,ok
instance_39,1.0,algorithm_2,28800.0,memout
instance_39,1.0,algorithm_6,28800.0,memout
instance_39,1.0,algorithm_4,113.32,ok
instance_39,1.0,algorithm_7,28800.0,timeout
instance_39,1.0,algorithm_3,3421.08,ok
instance_39,1.0,algorithm_5,3202.08,ok
instance_39,1.0,algorithm_8,9494.32,ok
instance_39,1.0,algorithm_1,6849.44,ok
instance_40,1.0,algorithm_2,28800.0,memout
instance_40,1.0,algorithm_6,28800.0,memout
