@RELATION Oberon

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
instance_1,1.0,algorithm_14,0.883826,ok
instance_1,1.0,algorithm_5,0.887714,ok
instance_1,1.0,algorithm_25,0.895334,ok
instance_1,1.0,algorithm_13,0.868429,ok
instance_1,1.0,algorithm_15,0.591913,ok
instance_1,1.0,algorithm_26,0.862986,ok
instance_1,1.0,algorithm_22,0.90311,ok
instance_1,1.0,algorithm_3,0.864697,ok
instance_1,1.0,algorithm_29,0.847278,ok
instance_1,1.0,algorithm_4,0.91633,ok
instance_1,1.0,algorithm_12,0.877449,ok
instance_1,1.0,algorithm_10,0.796267,ok
instance_1,1.0,algorithm_17,0.832037,ok
instance_1,1.0,algorithm_1,0.86563,ok
instance_1,1.0,algorithm_7,0.903421,ok
instance_1,1.0,algorithm_11,0.478538,ok
instance_1,1.0,algorithm_21,0.795334,ok
instance_1,1.0,algorithm_27,0.412597,ok
instance_1,1.0,algorithm_9,0.893002,ok
instance_1,1.0,algorithm_24,0.820529,ok
instance_1,1.0,algorithm_2,0.436236,ok
instance_1,1.0,algorithm_16,0.87465,ok
instance_1,1.0,algorithm_30,0.795334,ok
instance_1,1.0,algorithm_19,0.831415,ok
instance_1,1.0,algorithm_8,0.859565,ok
instance_1,1.0,algorithm_18,0.437947,ok
instance_1,1.0,algorithm_28,0.904977,ok
instance_1,1.0,algorithm_6,0.893468,ok
instance_1,1.0,algorithm_20,0.821462,ok
instance_1,1.0,algorithm_23,0.854588,ok
instance_3,1.0,algorithm_14,0.622283,ok
instance_3,1.0,algorithm_5,0.650815,ok
instance_3,1.0,algorithm_25,0.612772,ok
instance_3,1.0,algorithm_13,0.642663,ok
instance_3,1.0,algorithm_15,0.584239,ok
instance_3,1.0,algorithm_26,0.631793,ok
instance_3,1.0,algorithm_22,0.509511,ok
instance_3,1.0,algorithm_3,0.442935,ok
instance_3,1.0,algorithm_29,0.519022,ok
instance_3,1.0,algorithm_4,0.57337,ok
instance_3,1.0,algorithm_12,0.657609,ok
instance_3,1.0,algorithm_10,0.53125,ok
instance_3,1.0,algorithm_17,0.471467,ok
instance_3,1.0,algorithm_1,0.597826,ok
instance_3,1.0,algorithm_7,0.538043,ok
instance_3,1.0,algorithm_11,0.298913,ok
instance_3,1.0,algorithm_21,0.546196,ok
instance_3,1.0,algorithm_27,0.294837,ok
instance_3,1.0,algorithm_9,0.618207,ok
instance_3,1.0,algorithm_24,0.546196,ok
instance_3,1.0,algorithm_2,0.506793,ok
instance_3,1.0,algorithm_16,0.642663,ok
instance_3,1.0,algorithm_30,0.591033,ok
instance_3,1.0,algorithm_19,0.634511,ok
instance_3,1.0,algorithm_8,0.660326,ok
instance_3,1.0,algorithm_18,0.494565,ok
instance_3,1.0,algorithm_28,0.631793,ok
instance_3,1.0,algorithm_6,0.451087,ok
instance_3,1.0,algorithm_20,0.588315,ok
instance_3,1.0,algorithm_23,0.660326,ok
instance_4,1.0,algorithm_14,0.991091,ok
instance_4,1.0,algorithm_5,0.992205,ok
instance_4,1.0,algorithm_25,0.992205,ok
instance_4,1.0,algorithm_13,0.867483,ok
instance_4,1.0,algorithm_15,0.836303,ok
instance_4,1.0,algorithm_26,0.930958,ok
instance_4,1.0,algorithm_22,0.955457,ok
instance_4,1.0,algorithm_3,0.923163,ok
instance_4,1.0,algorithm_29,0.933185,ok
instance_4,1.0,algorithm_4,0.949889,ok
instance_4,1.0,algorithm_12,0.955457,ok
instance_4,1.0,algorithm_10,0.761693,ok
instance_4,1.0,algorithm_17,0.761693,ok
instance_4,1.0,algorithm_1,0.952116,ok
instance_4,1.0,algorithm_7,0.9098,ok
instance_4,1.0,algorithm_11,0.977728,ok
instance_4,1.0,algorithm_21,0.743875,ok
instance_4,1.0,algorithm_27,0.449889,ok
instance_4,1.0,algorithm_9,0.985523,ok
instance_4,1.0,algorithm_24,0.92539,ok
instance_4,1.0,algorithm_2,0.836303,ok
instance_4,1.0,algorithm_16,0.932071,ok
instance_4,1.0,algorithm_30,0.800668,ok
instance_4,1.0,algorithm_19,0.971047,ok
instance_4,1.0,algorithm_8,0.877506,ok
instance_4,1.0,algorithm_18,0.836303,ok
instance_4,1.0,algorithm_28,0.948775,ok
instance_4,1.0,algorithm_6,0.930958,ok
instance_4,1.0,algorithm_20,0.930958,ok
instance_4,1.0,algorithm_23,0.987751,ok
instance_5,1.0,algorithm_14,0.994994,ok
instance_5,1.0,algorithm_5,0.994368,ok
instance_5,1.0,algorithm_25,0.993116,ok
instance_5,1.0,algorithm_13,0.958073,ok
instance_5,1.0,algorithm_15,0.673029,ok
instance_5,1.0,algorithm_26,0.994681,ok
instance_5,1.0,algorithm_22,0.96433,ok
instance_5,1.0,algorithm_3,0.989675,ok
instance_5,1.0,algorithm_29,0.961202,ok
instance_5,1.0,algorithm_4,0.993429,ok
instance_5,1.0,algorithm_12,0.996871,ok
instance_5,1.0,algorithm_10,0.933041,ok
instance_5,1.0,algorithm_17,0.913642,ok
instance_5,1.0,algorithm_1,0.991239,ok
instance_5,1.0,algorithm_7,0.949625,ok
instance_5,1.0,algorithm_11,0.540989,ok
instance_5,1.0,algorithm_21,0.877972,ok
instance_5,1.0,algorithm_27,0.586358,ok
instance_5,1.0,algorithm_9,0.994681,ok
instance_5,1.0,algorithm_24,0.877972,ok
instance_5,1.0,algorithm_2,0.660513,ok
instance_5,1.0,algorithm_16,0.992491,ok
instance_5,1.0,algorithm_30,0.944305,ok
instance_5,1.0,algorithm_19,0.962766,ok
instance_5,1.0,algorithm_8,0.975907,ok
instance_5,1.0,algorithm_18,0.93836,ok
instance_5,1.0,algorithm_28,0.996871,ok
instance_5,1.0,algorithm_6,0.991239,ok
instance_5,1.0,algorithm_20,0.973717,ok
instance_5,1.0,algorithm_23,0.93836,ok
instance_6,1.0,algorithm_14,0.74755,ok
instance_6,1.0,algorithm_5,0.73635,ok
instance_6,1.0,algorithm_25,0.8234,ok
instance_6,1.0,algorithm_13,0.8234,ok
instance_6,1.0,algorithm_15,0.1706,ok
instance_6,1.0,algorithm_26,0.8796,ok
instance_6,1.0,algorithm_22,0.9594,ok
instance_6,1.0,algorithm_3,0.84235,ok
instance_6,1.0,algorithm_29,0.86055,ok
instance_6,1.0,algorithm_4,0.9645,ok
instance_6,1.0,algorithm_12,0.91905,ok
instance_6,1.0,algorithm_10,0.6429,ok
instance_6,1.0,algorithm_17,0.55505,ok
instance_6,1.0,algorithm_1,0.86095,ok
instance_6,1.0,algorithm_7,0.94765,ok
instance_6,1.0,algorithm_11,0.2219,ok
instance_6,1.0,algorithm_21,0.6419,ok
instance_6,1.0,algorithm_27,0.4054,ok
instance_6,1.0,algorithm_9,0.90855,ok
instance_6,1.0,algorithm_24,0.7448,ok
instance_6,1.0,algorithm_2,0.07065,ok
instance_6,1.0,algorithm_16,0.87225,ok
instance_6,1.0,algorithm_30,0.6419,ok
instance_6,1.0,algorithm_19,0.5138,ok
instance_6,1.0,algorithm_8,0.77455,ok
instance_6,1.0,algorithm_18,0.0709,ok
instance_6,1.0,algorithm_28,0.9567,ok
instance_6,1.0,algorithm_6,0.90145,ok
instance_6,1.0,algorithm_20,0.6495,ok
instance_6,1.0,algorithm_23,0.7372,ok
instance_7,1.0,algorithm_14,0.9504,ok
instance_7,1.0,algorithm_5,0.9584,ok
instance_7,1.0,algorithm_25,0.9728,ok
instance_7,1.0,algorithm_13,0.8688,ok
instance_7,1.0,algorithm_15,0.584,ok
instance_7,1.0,algorithm_26,0.7856,ok
instance_7,1.0,algorithm_22,0.8608,ok
instance_7,1.0,algorithm_3,0.792,ok
instance_7,1.0,algorithm_29,0.7808,ok
instance_7,1.0,algorithm_4,0.8144,ok
instance_7,1.0,algorithm_12,0.8944,ok
instance_7,1.0,algorithm_10,0.904,ok
instance_7,1.0,algorithm_17,0.8816,ok
instance_7,1.0,algorithm_1,0.8096,ok
instance_7,1.0,algorithm_7,0.8992,ok
instance_7,1.0,algorithm_11,0.4608,ok
instance_7,1.0,algorithm_21,0.904,ok
instance_7,1.0,algorithm_27,0.5104,ok
instance_7,1.0,algorithm_9,0.8352,ok
instance_7,1.0,algorithm_24,0.72,ok
instance_7,1.0,algorithm_2,0.6368,ok
instance_7,1.0,algorithm_16,0.7744,ok
instance_7,1.0,algorithm_30,0.9072,ok
instance_7,1.0,algorithm_19,0.8496,ok
instance_7,1.0,algorithm_8,0.8944,ok
instance_7,1.0,algorithm_18,0.7264,ok
