@RELATION Svea

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_4 NUMERIC
@ATTRIBUTE step_3 NUMERIC
@ATTRIBUTE step_5 NUMERIC
@ATTRIBUTE step_6 NUMERIC
@ATTRIBUTE step_10 NUMERIC
@ATTRIBUTE step_2 NUMERIC
@ATTRIBUTE step_7 NUMERIC
@ATTRIBUTE step_9 NUMERIC
@ATTRIBUTE step_8 NUMERIC
@ATTRIBUTE step_1 NUMERIC

@DATA
instance_1,4.0,1.04,7.96,8.0,8.04,3.2,0.6,1.72,10.0,0.0,8.32
instance_2,4.0,10.8,8.04,8.0,8.08,80.08,11.0,10.76,9.4,0.16,9.04
instance_3,4.0,0.0,8.0,8.0,0.04,29.56,0.0,0.12,8.4,0.0,8.32
instance_4,4.0,74.4,8.08,8.12,8.32,87.72,51.96,49.84,14.4,1.56,14.04
instance_5,4.0,3.08,8.04,8.08,8.04,5.64,1.12,2.8,9.44,0.04,8.36
instance_7,4.0,0.96,8.0,8.0,8.04,2.88,0.56,1.6,10.0,0.04,8.36
instance_8,4.0,219.08,8.04,9.04,8.64,80.28,27.76,15.76,10.84,0.6,10.92
instance_11,4.0,1.8,8.04,8.0,8.12,80.08,26.84,20.2,9.68,0.2,9.52
instance_12,4.0,2.0,7.96,8.0,8.04,41.28,4.8,9.0,9.28,0.08,8.48
instance_13,4.0,6.56,8.0,8.0,8.36,98.52,85.4,18.8,12.72,1.08,12.8
instance_14,4.0,0.0,8.0,8.0,0.12,0.12,0.0,0.04,9.84,0.0,8.8
instance_15,4.0,0.04,8.0,8.0,1.0,80.44,0.12,3.36,8.24,0.0,8.24
instance_17,4.0,24.36,8.04,8.4,9.2,180.36,66.36,56.92,15.04,1.48,14.84
instance_18,4.0,0.12,7.96,8.0,8.04,7.8,0.16,1.0,8.76,0.0,8.36
instance_20,4.0,0.0,7.96,5.0,0.0,0.0,0.0,0.0,1.68,0.0,1.12
instance_21,4.0,8.76,8.04,8.44,8.04,10.04,1.96,6.16,9.04,0.12,8.48
instance_22,4.0,0.0,8.0,8.0,0.04,0.28,0.0,0.04,5.28,0.0,3.64
instance_24,4.0,5.08,8.0,8.0,8.04,80.08,7.4,10.36,9.12,0.12,8.76
instance_27,4.0,0.16,7.96,8.0,8.04,1.12,0.16,0.56,10.2,0.0,8.48
instance_28,4.0,31.52,8.04,8.08,8.28,80.12,21.04,13.92,10.16,0.32,10.0
instance_30,4.0,0.08,8.0,8.0,6.92,80.04,0.32,1.64,8.6,0.04,8.4
instance_31,4.0,0.04,0.08,8.0,1.48,80.36,0.24,4.76,8.6,0.0,8.6
instance_32,4.0,0.0,8.0,8.0,0.08,0.08,0.0,0.04,9.28,0.0,8.72
instance_34,4.0,0.04,8.0,8.0,0.12,80.52,0.04,1.0,8.16,0.0,8.16
instance_38,4.0,0.0,8.0,8.0,0.16,1.52,0.04,0.08,9.56,0.0,8.72
instance_40,4.0,0.48,8.0,8.0,8.04,25.8,1.08,1.32,9.28,0.04,8.28
instance_41,4.0,0.04,8.0,8.0,3.8,80.04,0.12,1.16,8.68,0.0,8.44
instance_42,4.0,0.0,8.0,8.0,0.2,0.16,0.0,0.04,9.6,0.0,8.8
instance_43,4.0,2.76,8.0,8.04,8.04,80.04,5.2,9.36,8.6,0.08,8.56
instance_44,4.0,0.88,8.0,8.04,8.04,80.04,0.6,3.0,8.6,0.04,8.32
instance_47,4.0,0.0,0.0,0.0,0.0,0.0,10.76,0.0,0.0,0.0,0.0
instance_49,4.0,0.0,8.0,8.0,3.6,51.96,0.12,0.6,8.6,0.04,8.32
instance_51,4.0,0.04,8.0,8.0,0.52,80.88,0.12,2.32,8.32,0.0,8.2
instance_52,4.0,0.12,8.0,8.0,8.04,80.04,0.8,1.88,9.0,0.0,8.44
instance_53,4.0,0.0,8.0,8.0,0.12,48.52,0.0,0.2,8.52,0.0,8.32
instance_54,4.0,0.04,2.08,8.0,8.04,36.48,0.28,1.52,8.72,0.04,8.32
instance_55,4.0,0.0,7.96,8.0,0.0,0.04,0.0,0.04,9.96,0.0,7.16
instance_56,4.0,1300.8,8.0,9.44,8.56,80.56,33.4,153.56,15.24,1.6,15.4
instance_57,4.0,0.08,7.96,8.0,5.88,80.04,0.16,1.32,8.8,0.04,8.44
instance_62,4.0,0.08,8.0,8.0,8.04,80.04,1.12,6.2,8.56,0.04,8.44
instance_64,4.0,74.48,8.08,8.64,8.44,93.76,90.04,146.6,21.88,3.32,22.24
instance_65,4.0,0.36,7.96,8.0,8.04,1.68,0.28,0.88,9.0,0.0,8.28
instance_66,4.0,0.0,7.96,8.0,0.16,0.12,0.0,0.08,10.24,0.0,9.2
instance_67,4.0,0.0,7.96,8.0,0.04,29.88,0.0,0.16,8.6,0.0,8.44
instance_71,4.0,130.12,8.04,8.0,8.12,80.16,33.08,15.28,10.36,0.36,10.28
instance_73,4.0,0.0,7.96,8.0,0.08,80.8,0.04,0.88,8.2,0.0,8.16
instance_74,4.0,15.52,8.04,8.44,8.04,13.88,2.88,8.56,8.84,0.16,8.68
instance_76,4.0,0.0,7.96,8.0,0.16,0.12,0.0,0.04,9.44,0.0,8.88
instance_77,4.0,0.0,0.2,8.0,2.72,80.84,0.24,3.16,8.44,0.04,8.32
instance_78,4.0,0.24,8.0,8.0,8.04,80.08,0.32,1.68,8.4,0.0,8.28
instance_79,4.0,24.04,8.04,8.0,8.08,43.2,10.56,11.36,9.32,0.2,9.0
instance_80,4.0,0.0,8.0,8.0,0.04,0.04,0.0,0.0,9.72,0.0,9.04
instance_82,4.0,1.72,8.04,8.0,8.04,80.68,4.2,9.72,9.16,0.16,8.76
instance_83,4.0,0.0,7.96,8.0,0.2,0.12,0.0,0.08,9.16,0.0,8.64
instance_84,4.0,0.0,8.0,8.0,0.32,0.16,0.0,0.08,10.4,0.0,9.16
instance_86,4.0,0.04,8.0,8.0,5.24,80.04,0.52,5.0,8.28,0.0,8.24
instance_88,4.0,162.08,8.0,8.12,8.24,80.36,27.04,17.6,10.68,0.84,10.6
instance_89,4.0,0.0,8.0,8.0,0.12,23.52,0.0,0.2,8.48,0.0,8.28
instance_91,4.0,0.16,8.0,8.0,8.04,80.08,2.12,9.16,8.48,0.04,8.48
instance_94,4.0,0.36,8.0,8.0,8.04,80.04,1.92,3.52,9.04,0.04,8.4
instance_95,4.0,75.28,8.04,8.04,8.92,147.2,73.04,145.48,22.56,2.88,23.36
instance_96,4.0,0.0,7.96,8.0,0.16,0.88,0.0,0.32,8.72,0.0,8.36
instance_97,4.0,0.0,8.0,5.24,0.0,0.0,0.0,0.0,6.04,0.0,3.64
instance_102,4.0,0.0,8.0,8.0,0.12,1.0,0.0,0.32,9.28,0.0,8.56
instance_103,4.0,0.16,8.0,8.0,8.04,1.12,0.16,0.52,9.72,0.0,8.48
instance_104,4.0,8.12,8.04,8.0,8.04,37.92,4.12,8.48,9.24,0.08,8.76
instance_105,4.0,0.0,0.0,8.0,0.04,0.8,0.04,0.08,8.44,0.0,6.92
instance_106,4.0,11.24,8.04,8.08,8.08,80.2,7.0,15.96,11.2,0.44,11.2
instance_108,4.0,0.0,8.0,8.0,0.2,0.16,0.0,0.08,10.12,0.0,8.92
instance_109,4.0,0.04,7.96,8.0,3.4,81.36,0.2,1.88,9.96,0.0,8.64
instance_111,4.0,0.08,8.0,8.0,7.56,82.2,0.84,7.76,8.4,0.0,8.4
instance_115,4.0,0.0,7.96,8.0,0.12,0.92,0.0,0.32,9.04,0.0,8.6
instance_117,4.0,10.36,8.04,8.08,8.04,80.24,11.88,16.96,11.12,0.64,11.32
instance_118,4.0,0.0,7.96,8.0,0.12,0.12,0.0,0.08,9.4,0.0,8.52
instance_119,4.0,1.8,8.0,8.0,8.04,9.88,3.36,6.0,8.72,0.04,8.36
instance_120,4.0,0.0,0.04,8.0,0.04,6.4,0.0,0.12,3.84,0.0,4.32
instance_121,4.0,0.0,7.96,8.0,0.04,23.44,0.0,0.08,8.64,0.0,7.8
instance_122,4.0,46.36,8.04,8.16,8.12,73.04,21.28,12.88,9.52,0.44,9.48
instance_123,4.0,0.12,8.0,8.0,8.04,80.04,1.92,8.48,8.4,0.04,8.32
instance_124,4.0,0.0,8.0,8.0,0.04,23.64,0.0,0.12,8.84,0.0,8.28
instance_125,4.0,0.12,8.04,8.0,8.04,80.04,0.32,5.08,10.32,0.04,8.56
instance_128,4.0,0.04,8.0,8.0,4.76,80.2,0.64,5.08,8.36,0.0,8.32
instance_130,4.0,0.0,8.04,8.0,1.04,80.04,0.12,4.2,8.4,0.04,8.24
instance_131,4.0,1.68,8.0,8.0,8.04,80.04,4.16,8.08,9.36,0.08,8.6
