@RELATION Svea

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_4 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_3 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_5 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_6 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_10 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_2 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_7 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_9 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_8 {ok, timeout, memout, presolved, crash, other, unknown}
@ATTRIBUTE step_1 {ok, timeout, memout, presolved, crash, other, unknown}

@DATA
instance_1,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_2,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_3,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_4,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_5,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_7,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_8,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_11,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_12,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_13,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_14,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_15,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_17,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_18,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_20,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_21,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_22,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_24,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_27,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_28,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_30,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_31,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_32,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_34,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_38,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_40,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_41,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_42,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_43,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_44,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_47,1.0,presolved,presolved,presolved,presolved,presolved,presolved,presolved,presolved,presolved,presolved
instance_49,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_51,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_52,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_53,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_54,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_55,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_56,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_57,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_62,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_64,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_65,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_66,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_67,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_71,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_73,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_74,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_76,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_77,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_78,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_79,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_80,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_82,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_83,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_84,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_86,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_88,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_89,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_91,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_94,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_95,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_96,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_97,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_102,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_103,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_104,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_105,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_106,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_108,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_109,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_111,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_115,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_117,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_118,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_119,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_120,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_121,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_122,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_123,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_124,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_125,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_128,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_130,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_131,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_132,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_135,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_136,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_139,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_140,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_141,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_142,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_143,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_144,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_146,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_147,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_149,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_150,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_151,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_153,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_155,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_156,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_157,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_158,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_159,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_161,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_162,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_163,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_164,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
instance_165,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_166,1.0,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
instance_168,1.0,ok,ok,ok,ok,crash,ok,ok,ok,ok,ok
