@RELATION Svea

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE feature_50 NUMERIC
@ATTRIBUTE feature_51 NUMERIC
@ATTRIBUTE feature_52 NUMERIC
@ATTRIBUTE feature_53 NUMERIC
@ATTRIBUTE feature_54 NUMERIC
@ATTRIBUTE feature_55 NUMERIC
@ATTRIBUTE feature_81 NUMERIC
@ATTRIBUTE feature_82 NUMERIC
@ATTRIBUTE feature_83 NUMERIC
@ATTRIBUTE feature_84 NUMERIC
@ATTRIBUTE feature_85 NUMERIC
@ATTRIBUTE feature_86 NUMERIC
@ATTRIBUTE feature_87 NUMERIC
@ATTRIBUTE feature_88 NUMERIC
@ATTRIBUTE feature_89 NUMERIC
@ATTRIBUTE feature_90 NUMERIC
@ATTRIBUTE feature_91 NUMERIC
@ATTRIBUTE feature_92 NUMERIC
@ATTRIBUTE feature_93 NUMERIC
@ATTRIBUTE feature_94 NUMERIC
@ATTRIBUTE feature_30 NUMERIC
@ATTRIBUTE feature_31 NUMERIC
@ATTRIBUTE feature_32 NUMERIC
@ATTRIBUTE feature_33 NUMERIC
@ATTRIBUTE feature_34 NUMERIC
@ATTRIBUTE feature_35 NUMERIC
@ATTRIBUTE feature_36 NUMERIC
@ATTRIBUTE feature_37 NUMERIC
@ATTRIBUTE feature_38 NUMERIC
@ATTRIBUTE feature_39 NUMERIC
@ATTRIBUTE feature_40 NUMERIC
@ATTRIBUTE feature_41 NUMERIC
@ATTRIBUTE feature_42 NUMERIC
@ATTRIBUTE feature_43 NUMERIC
@ATTRIBUTE feature_44 NUMERIC
@ATTRIBUTE feature_45 NUMERIC
@ATTRIBUTE feature_46 NUMERIC
@ATTRIBUTE feature_47 NUMERIC
@ATTRIBUTE feature_48 NUMERIC
@ATTRIBUTE feature_49 NUMERIC
@ATTRIBUTE feature_106 NUMERIC
@ATTRIBUTE feature_107 NUMERIC
@ATTRIBUTE feature_108 NUMERIC
@ATTRIBUTE feature_109 NUMERIC
@ATTRIBUTE feature_110 NUMERIC
@ATTRIBUTE feature_111 NUMERIC
@ATTRIBUTE feature_112 NUMERIC
@ATTRIBUTE feature_113 NUMERIC
@ATTRIBUTE feature_114 NUMERIC
@ATTRIBUTE feature_115 NUMERIC
@ATTRIBUTE feature_58 NUMERIC
@ATTRIBUTE feature_59 NUMERIC
@ATTRIBUTE feature_60 NUMERIC
@ATTRIBUTE feature_61 NUMERIC
@ATTRIBUTE feature_62 NUMERIC
@ATTRIBUTE feature_12 NUMERIC
@ATTRIBUTE feature_13 NUMERIC
@ATTRIBUTE feature_14 NUMERIC
@ATTRIBUTE feature_15 NUMERIC
@ATTRIBUTE feature_16 NUMERIC
@ATTRIBUTE feature_17 NUMERIC
@ATTRIBUTE feature_18 NUMERIC
@ATTRIBUTE feature_19 NUMERIC
@ATTRIBUTE feature_20 NUMERIC
@ATTRIBUTE feature_21 NUMERIC
@ATTRIBUTE feature_22 NUMERIC
@ATTRIBUTE feature_23 NUMERIC
@ATTRIBUTE feature_24 NUMERIC
@ATTRIBUTE feature_25 NUMERIC
@ATTRIBUTE feature_26 NUMERIC
@ATTRIBUTE feature_27 NUMERIC
@ATTRIBUTE feature_28 NUMERIC
@ATTRIBUTE feature_29 NUMERIC
@ATTRIBUTE feature_63 NUMERIC
@ATTRIBUTE feature_64 NUMERIC
@ATTRIBUTE feature_65 NUMERIC
@ATTRIBUTE feature_66 NUMERIC
@ATTRIBUTE feature_67 NUMERIC
@ATTRIBUTE feature_68 NUMERIC
@ATTRIBUTE feature_69 NUMERIC
@ATTRIBUTE feature_70 NUMERIC
@ATTRIBUTE feature_71 NUMERIC
@ATTRIBUTE feature_72 NUMERIC
@ATTRIBUTE feature_73 NUMERIC
@ATTRIBUTE feature_74 NUMERIC
@ATTRIBUTE feature_75 NUMERIC
@ATTRIBUTE feature_76 NUMERIC
@ATTRIBUTE feature_77 NUMERIC
@ATTRIBUTE feature_78 NUMERIC
@ATTRIBUTE feature_79 NUMERIC
@ATTRIBUTE feature_80 NUMERIC
@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE feature_3 NUMERIC
@ATTRIBUTE feature_4 NUMERIC
@ATTRIBUTE feature_5 NUMERIC
@ATTRIBUTE feature_6 NUMERIC
@ATTRIBUTE feature_7 NUMERIC
@ATTRIBUTE feature_8 NUMERIC
@ATTRIBUTE feature_9 NUMERIC
@ATTRIBUTE feature_10 NUMERIC
@ATTRIBUTE feature_11 NUMERIC
@ATTRIBUTE feature_95 NUMERIC
@ATTRIBUTE feature_96 NUMERIC
@ATTRIBUTE feature_97 NUMERIC
@ATTRIBUTE feature_98 NUMERIC
@ATTRIBUTE feature_99 NUMERIC
@ATTRIBUTE feature_100 NUMERIC
@ATTRIBUTE feature_101 NUMERIC
@ATTRIBUTE feature_102 NUMERIC
@ATTRIBUTE feature_103 NUMERIC
@ATTRIBUTE feature_104 NUMERIC
@ATTRIBUTE feature_105 NUMERIC
@ATTRIBUTE feature_56 NUMERIC
@ATTRIBUTE feature_57 NUMERIC

@DATA
instance_1,4.0,40000.0,168000.0,39008.0,166836.0,0.1016,0.028,0.9352,1.9812,2.3468,0.0,4.0,2.876,0.0012,0.2632,0.0012,0.0024,0.662,0.0,0.0,3.8504,0.0012,1.1632,0.0,0.0032,10.8572,0.9096,0.6828,0.0,4.0,13.4112,0.0008,1.6052,0.0,0.0024,9.3328,1.9752,0.0024,1.1772,0.0,0.0068,0.002,0.978,0.0004,0.0048,11.8612,0.4088,0.9732,0.154,1.3332,8.9988,20.2424,0.1884,20.0,24.0,0.914,73.056,1.4672,32.0,168.0,104.0,44.0,84.0,52.0,68.0,212.66,0.7216,129.272,336.0,259.6,163.252,239.2,189.62,208.0,1.5704,2.3288,0.0,4.0,2.818,0.3304,2.282,0.8076,1.5504,0.372,2.5832,0.0048,2.342,0.6988,0.1132,0.5024,0.192,0.3208,1916.76,7.118,8058.4,1.0692,8600.0,8340.0,8732.0,3.1688,4.0776,4.0556,2.6356,593.28,0.384,8516.4,0.076,8520.0,8280.0,8660.0,0.2464,0.8872,3.2976,0.0332,0.948,1.2068
instance_2,4.0,784000.0,2332000.0,131000.0,992000.0,19.9764,5.4176,0.5292,1.5024,2.768,0.0,4.0,7.0784,0.0004,1.4976,0.0004,0.006,6.4824,0.0,0.4776,1.872,0.0004,8.0652,0.0,0.0568,11.9844,0.6852,0.5988,0.0,3.8632,11.5308,0.0,9.508,0.0,0.0284,10.062,1.774,0.0004,7.0388,0.0,0.0332,?,?,?,?,?,?,?,?,?,?,29.6584,0.2656,28.0,32.0,2.714,1285.0,4.4124,356.0,5776.0,5176.0,552.0,964.0,760.0,840.0,54.42,1.5232,36.076,119.972,87.124,37.9796,64.268,42.368,46.752,2.2728,1.6452,0.0,4.0,3.3168,0.7576,2.934,1.7812,2.4568,0.3188,3.006,0.0,1.7776,0.5828,0.0024,0.4764,0.1128,0.3112,11278.0,4.16,18016.0,5.6568,18016.0,0.0,0.0,6.1632,3.4744,4.2816,0.9828,5228.8,0.362,35791.2,0.072,35706.0,35140.0,36344.0,1.4956,3.6072,3.616,0.0352,0.1108,0.5964
instance_3,4.0,440.0,9372.0,440.0,9372.0,0.0,0.0,0.1876,1.5096,2.56,0.8,4.0,3.3236,0.182,0.0,0.182,0.182,0.0,0.0,0.0,0.0,0.182,0.448,0.1364,0.2476,14.256,0.3152,0.2464,0.0,1.2684,11.4928,0.0352,0.7664,0.0204,0.0528,10.8456,0.7768,0.1828,0.0624,0.1724,0.186,0.4396,0.2616,0.3296,0.5736,16.8544,0.4276,0.2256,0.3452,0.5104,4.0276,11.156,0.5852,8.0,12.0,2.0612,17113.2,0.0552,16908.0,17588.0,17588.0,16908.0,17424.0,16948.0,17024.0,99.72,0.1108,94.772,103.76,103.76,94.772,101.808,98.952,101.104,0.6604,2.7652,0.0224,2.1976,1.246,0.1576,1.0156,0.27,0.5816,0.0076,2.9364,0.0008,0.032,0.016,0.0024,0.01,0.0036,0.0064,38.6812,1.1592,87.972,0.6476,88.0,72.0,108.0,6.2364,1.0288,3.4796,0.3372,34.8176,1.2072,87.972,0.648,88.0,72.0,108.0,4.6084,1.732,3.43,0.3124,2.2364,2.79
instance_4,4.0,384708.0,7240000.0,339768.0,7160000.0,0.5292,0.056,0.19,2.116,3.1064,0.0,4.0,5.4228,0.0,10.1248,0.0,0.1044,3.93,0.0,2.4796,3.8004,0.0,26.5532,0.0,0.0796,17.4472,1.7712,1.0092,0.0,4.0,16.2884,0.0,18.7384,0.0,0.0396,16.7824,3.7692,0.0012,5.2764,0.0,0.0684,?,?,?,?,?,?,?,?,?,?,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4184,1.134,0.0,4.0,4.0,1.9016,3.9996,3.178,3.9852,0.3696,6.8268,0.0,2.0,1.438,0.0,0.4696,0.0,0.0128,233388.0,0.0,0.0,0.0,0.0,0.0,0.0,152.788,0.0,4.818,0.0,65784.0,0.0,0.0,0.0,0.0,0.0,0.0,53.652,0.0,4.1976,0.0,1.658,2.336
instance_5,4.0,72000.0,302400.0,70108.0,300124.0,0.108,0.0304,0.9344,1.9796,2.3532,0.0,4.0,2.8688,0.0008,0.2612,0.0008,0.0012,0.6528,0.0,0.0,3.8528,0.0008,1.1584,0.0,0.002,10.8472,0.9212,0.6896,0.0,4.0,13.478,0.0004,1.5992,0.0,0.0012,9.3268,1.9752,0.0016,1.1728,0.0004,0.004,0.0012,0.9888,0.0004,0.0028,11.9032,0.4092,0.9856,0.148,1.4284,9.0444,20.8172,0.31,20.0,24.0,2.0252,32.9168,1.5416,16.0,84.0,48.0,20.0,40.0,24.0,32.0,272.516,1.0528,118.668,618.0,370.46,184.728,311.332,230.4,266.332,1.5804,2.3124,0.0,4.0,2.8336,0.3448,2.2924,0.824,1.5588,0.3736,2.6016,0.0068,3.0164,0.7088,0.1152,0.5032,0.192,0.3196,5485.6,7.122,13237.6,1.764,15452.0,0.0,15496.0,4.0716,5.0524,5.3156,3.86,1232.28,0.4352,15234.4,0.0356,15216.0,15040.0,15360.0,0.382,0.9912,3.314,0.0228,0.9564,1.2176
instance_7,4.0,40000.0,168000.0,39076.0,167040.0,0.0944,0.0228,0.9356,1.9844,2.3512,0.0,4.0,2.8412,0.0012,0.2556,0.0012,0.0028,0.6148,0.0,0.0,3.8652,0.0012,1.1644,0.0,0.0036,10.8496,0.9096,0.6744,0.0,4.0,13.4104,0.0008,1.5908,0.0,0.002,9.3044,1.9796,0.0024,1.1792,0.0,0.008,0.002,0.9868,0.0004,0.0048,11.876,0.4096,0.976,0.154,1.6,9.0268,20.106,0.128,20.0,24.0,0.49,72.576,1.2384,32.0,144.0,104.0,48.0,88.0,56.0,68.0,216.644,0.7512,120.844,344.0,277.144,173.912,237.904,188.212,210.0,1.5744,2.308,0.0004,4.0,2.8184,0.3456,2.2804,0.8232,1.5328,0.37,2.6176,0.0104,3.61,0.7092,0.1124,0.4996,0.1888,0.3164,1391.04,3.9296,8088.4,1.0324,8636.0,8364.0,8700.0,2.5848,2.6916,3.5276,0.692,634.08,0.4224,8511.6,0.0744,8520.0,8324.0,8652.0,0.2608,1.0648,3.2892,0.0304,0.9584,1.2208
instance_8,4.0,1196000.0,5640000.0,600000.0,3472000.0,3.9472,2.4936,0.6932,1.5524,3.9324,0.0,4.0,5.5164,0.0,1.9216,0.0,0.0004,4.1492,0.0,2.34,3.4924,0.0,2.1816,0.0,0.0,10.276,1.05,0.6552,0.0,3.2728,11.3704,0.0,2.1444,0.0,0.0,9.2564,2.928,0.0,2.0528,0.0,0.0,?,?,?,?,?,?,?,?,?,?,68.364,0.0672,68.0,72.0,1.2184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.334,2.1928,0.0,3.8504,3.5464,0.2852,3.3788,1.1004,3.0576,0.0624,3.1968,0.0,0.538,0.1168,0.0,0.088,0.0288,0.0624,512000.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6664,0.0,19.9112,0.0,72656.0,0.0,214080.0,0.0,214080.0,214080.0,214080.0,10.5416,0.0,3.9892,0.0,1.0092,2.7116
instance_11,4.0,381684.0,1760000.0,33428.0,1068000.0,41.672,2.5784,0.1252,1.0056,5.6776,0.0,4.0,6.7244,0.0028,9.8136,0.0008,0.1928,6.998,0.0,2.5356,2.9056,0.0028,7.4924,0.0,0.0328,21.892,1.4576,1.1936,0.0,3.9296,16.9528,0.0016,10.0648,0.0,0.0304,17.3324,3.0936,0.0024,6.3832,0.0,0.0236,?,?,?,?,?,?,?,?,?,?,50.388,0.426,40.0,60.0,6.3728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7144,1.884,0.0,4.0,3.9036,0.6,3.7792,1.6788,3.318,0.6524,4.156,0.0,2.0,1.7972,0.0024,1.254,0.068,0.346,667.6,5.416,10986.8,0.0616,11026.0,10700.0,11104.0,25.23,2.5924,3.9432,0.0208,2145.2,0.7512,10343.2,0.9428,10902.0,10556.0,11004.0,21.4824,2.3296,3.9756,0.0252,1.6832,3.4564
instance_12,4.0,215008.0,592000.0,55044.0,263864.0,11.6244,4.998,0.8344,1.776,3.174,0.0,4.0,5.2852,0.0008,6.7064,0.0004,0.0292,4.2476,0.0,1.6644,3.4844,0.0008,4.26,0.0004,0.012,8.7644,0.76,0.496,0.0,3.8368,7.04,0.0004,4.9508,0.0,0.008,7.8688,2.346,0.0028,3.3304,0.0004,0.0356,0.0028,4.7564,0.0004,0.0312,16.5356,0.5104,2.6468,0.0192,2.8,12.1468,30.3908,0.258,28.0,32.0,2.6956,2659.0,0.9384,2200.0,4180.0,4180.0,2200.0,2920.0,2284.0,2376.0,53.224,0.6564,41.988,70.448,70.448,41.988,60.672,46.232,54.396,2.2268,1.998,0.0,3.9604,3.0044,0.0,2.9144,2.2544,2.7828,0.2632,3.3096,0.0,0.8684,0.534,0.0404,0.5312,0.0536,0.1984,5432.0,8.5444,15416.0,1.7648,17964.0,0.0,18184.0,7.9416,6.5388,5.0684,3.0076,3632.88,10.0712,17173.6,0.8732,17932.0,17728.0,18212.0,0.818,1.3552,3.5316,0.872,0.4408,1.3412
instance_13,4.0,97424.0,7520000.0,97408.0,7520000.0,0.0008,0.0,0.0516,3.6816,0.9304,0.0,4.0,1.9236,0.0004,3.3876,0.0004,0.0236,1.8132,0.0,3.5152,3.8928,0.0004,2.3628,0.0,0.0016,11.2308,3.7584,0.5292,0.0,3.9064,2.5544,0.0004,1.2508,0.0,0.0008,11.1772,3.7328,0.0004,0.9848,0.0,0.0008,?,?,?,?,?,?,?,?,?,?,21.846,0.6172,20.0,28.0,2.1608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8232,0.5904,0.0088,4.0,3.9948,3.8544,3.974,3.9396,3.9504,0.0432,4.9612,0.0,0.9036,0.0928,0.0032,0.0476,0.0152,0.034,257568.0,5.6568,22990.0,5.6568,22990.0,0.0,0.0,153.968,3.31,4.844,0.988,376.0,5.1224,46508.0,0.0076,46508.0,46420.0,46508.0,84.976,2.7144,3.9988,0.0012,0.7944,1.8072
