@RELATION Svea

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
instance_1,1.0,algorithm_15,4800.0,timeout
instance_1,1.0,algorithm_4,4800.0,timeout
instance_1,1.0,algorithm_16,4800.0,timeout
instance_1,1.0,algorithm_5,4800.0,timeout
instance_1,1.0,algorithm_14,4800.0,timeout
instance_1,1.0,algorithm_23,4800.0,timeout
instance_1,1.0,algorithm_20,4800.0,timeout
instance_1,1.0,algorithm_30,511.44,ok
instance_1,1.0,algorithm_9,4800.0,timeout
instance_1,1.0,algorithm_3,4800.0,timeout
instance_1,1.0,algorithm_31,4800.0,timeout
instance_1,1.0,algorithm_26,4800.0,timeout
instance_1,1.0,algorithm_29,4800.0,timeout
instance_1,1.0,algorithm_8,4800.0,timeout
instance_1,1.0,algorithm_1,4800.0,timeout
instance_1,1.0,algorithm_19,27.88,ok
instance_1,1.0,algorithm_2,7.04,ok
instance_1,1.0,algorithm_11,4800.0,timeout
instance_1,1.0,algorithm_13,842.6,ok
instance_1,1.0,algorithm_25,391.72,ok
instance_1,1.0,algorithm_28,192.24,ok
instance_1,1.0,algorithm_18,4800.0,timeout
instance_1,1.0,algorithm_21,1128.6,ok
instance_1,1.0,algorithm_12,4800.0,timeout
instance_1,1.0,algorithm_17,4800.0,timeout
instance_1,1.0,algorithm_10,4800.0,timeout
instance_1,1.0,algorithm_24,4800.0,timeout
instance_1,1.0,algorithm_7,4800.0,timeout
instance_1,1.0,algorithm_27,846.16,ok
instance_1,1.0,algorithm_6,4800.0,timeout
instance_1,1.0,algorithm_22,4800.0,timeout
instance_2,1.0,algorithm_15,138.72,ok
instance_2,1.0,algorithm_4,188.8,ok
instance_2,1.0,algorithm_16,96.4,ok
instance_2,1.0,algorithm_5,166.76,ok
instance_2,1.0,algorithm_14,204.52,ok
instance_2,1.0,algorithm_23,198.48,ok
instance_2,1.0,algorithm_20,122.96,ok
instance_2,1.0,algorithm_30,219.84,ok
instance_2,1.0,algorithm_9,310.4,ok
instance_2,1.0,algorithm_3,243.08,ok
instance_2,1.0,algorithm_31,191.24,ok
instance_2,1.0,algorithm_26,283.36,ok
instance_2,1.0,algorithm_29,513.08,ok
instance_2,1.0,algorithm_8,4804.0,timeout
instance_2,1.0,algorithm_1,4800.0,timeout
instance_2,1.0,algorithm_19,4800.0,timeout
instance_2,1.0,algorithm_2,4800.0,timeout
instance_2,1.0,algorithm_11,4800.0,timeout
instance_2,1.0,algorithm_13,373.16,ok
instance_2,1.0,algorithm_25,4800.0,timeout
instance_2,1.0,algorithm_28,4800.0,timeout
instance_2,1.0,algorithm_18,334.72,ok
instance_2,1.0,algorithm_21,4800.0,timeout
instance_2,1.0,algorithm_12,4800.0,timeout
instance_2,1.0,algorithm_17,4800.0,timeout
instance_2,1.0,algorithm_10,3054.88,ok
instance_2,1.0,algorithm_24,1088.4,ok
instance_2,1.0,algorithm_7,835.08,ok
instance_2,1.0,algorithm_27,372.12,ok
instance_2,1.0,algorithm_6,394.44,ok
instance_2,1.0,algorithm_22,4800.0,timeout
instance_3,1.0,algorithm_15,4800.0,timeout
instance_3,1.0,algorithm_4,4800.0,timeout
