@RELATION Camilla

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE obj NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
instance_1,1.0,algorithm_15,0.9,ok
instance_1,1.0,algorithm_17,0.9,ok
instance_1,1.0,algorithm_6,0.9,ok
instance_1,1.0,algorithm_4,0.9,ok
instance_1,1.0,algorithm_3,0.9,ok
instance_1,1.0,algorithm_1,0.9,ok
instance_1,1.0,algorithm_2,0.9,ok
instance_1,1.0,algorithm_13,0.6,ok
instance_1,1.0,algorithm_19,0.9,ok
instance_1,1.0,algorithm_16,0.9,ok
instance_1,1.0,algorithm_20,0.9,ok
instance_1,1.0,algorithm_21,0.6,ok
instance_1,1.0,algorithm_5,0.9,ok
instance_1,1.0,algorithm_11,0.9,ok
instance_1,1.0,algorithm_12,0.9,ok
instance_1,1.0,algorithm_14,0.9,ok
instance_1,1.0,algorithm_18,0.9,ok
instance_1,1.0,algorithm_10,0.9,ok
instance_1,1.0,algorithm_9,0.0,ok
instance_1,1.0,algorithm_22,0.9,ok
instance_1,1.0,algorithm_8,0.9,ok
instance_1,1.0,algorithm_7,0.9,ok
instance_3,1.0,algorithm_15,0.9,ok
instance_3,1.0,algorithm_17,0.9,ok
instance_3,1.0,algorithm_6,0.9,ok
instance_3,1.0,algorithm_4,0.9,ok
instance_3,1.0,algorithm_3,0.9,ok
instance_3,1.0,algorithm_1,0.3,ok
instance_3,1.0,algorithm_2,0.9,ok
instance_3,1.0,algorithm_13,0.75,ok
instance_3,1.0,algorithm_19,0.9,ok
instance_3,1.0,algorithm_16,0.3,ok
instance_3,1.0,algorithm_20,0.3,ok
instance_3,1.0,algorithm_21,0.0,ok
instance_3,1.0,algorithm_5,0.3,ok
instance_3,1.0,algorithm_11,0.9,ok
instance_3,1.0,algorithm_12,0.9,ok
instance_3,1.0,algorithm_14,0.9,ok
instance_3,1.0,algorithm_18,0.9,ok
instance_3,1.0,algorithm_10,0.9,ok
instance_3,1.0,algorithm_9,0.15,ok
instance_3,1.0,algorithm_22,0.3,ok
instance_3,1.0,algorithm_8,0.9,ok
instance_3,1.0,algorithm_7,0.9,ok
instance_4,1.0,algorithm_15,0.9,ok
instance_4,1.0,algorithm_17,0.9,ok
instance_4,1.0,algorithm_6,0.9,ok
instance_4,1.0,algorithm_4,0.9,ok
instance_4,1.0,algorithm_3,0.3,ok
instance_4,1.0,algorithm_1,0.9,ok
instance_4,1.0,algorithm_2,0.9,ok
instance_4,1.0,algorithm_13,0.6,ok
instance_4,1.0,algorithm_19,0.9,ok
instance_4,1.0,algorithm_16,0.9,ok
instance_4,1.0,algorithm_20,0.9,ok
instance_4,1.0,algorithm_21,1.0,timeout
instance_4,1.0,algorithm_5,0.9,ok
instance_4,1.0,algorithm_11,0.9,ok
instance_4,1.0,algorithm_12,0.9,ok
instance_4,1.0,algorithm_14,0.9,ok
instance_4,1.0,algorithm_18,0.9,ok
instance_4,1.0,algorithm_10,0.9,ok
instance_4,1.0,algorithm_9,0.0,ok
instance_4,1.0,algorithm_22,0.9,ok
instance_4,1.0,algorithm_8,0.6,ok
instance_4,1.0,algorithm_7,0.9,ok
instance_5,1.0,algorithm_15,0.9,ok
instance_5,1.0,algorithm_17,0.9,ok
instance_5,1.0,algorithm_6,0.9,ok
instance_5,1.0,algorithm_4,0.9,ok
instance_5,1.0,algorithm_3,0.9,ok
instance_5,1.0,algorithm_1,0.9,ok
instance_5,1.0,algorithm_2,0.9,ok
instance_5,1.0,algorithm_13,0.9,ok
instance_5,1.0,algorithm_19,0.9,ok
instance_5,1.0,algorithm_16,0.9,ok
instance_5,1.0,algorithm_20,0.9,ok
instance_5,1.0,algorithm_21,0.675,ok
instance_5,1.0,algorithm_5,0.9,ok
instance_5,1.0,algorithm_11,0.9,ok
instance_5,1.0,algorithm_12,0.9,ok
instance_5,1.0,algorithm_14,0.9,ok
instance_5,1.0,algorithm_18,0.9,ok
instance_5,1.0,algorithm_10,0.9,ok
instance_5,1.0,algorithm_9,0.0,ok
instance_5,1.0,algorithm_22,0.9,ok
instance_5,1.0,algorithm_8,0.9,ok
instance_5,1.0,algorithm_7,0.9,ok
instance_6,1.0,algorithm_15,1.0,timeout
instance_6,1.0,algorithm_17,1.0,timeout
instance_6,1.0,algorithm_6,0.0,ok
instance_6,1.0,algorithm_4,0.0,ok
instance_6,1.0,algorithm_3,1.0,timeout
instance_6,1.0,algorithm_1,0.0,ok
instance_6,1.0,algorithm_2,1.0,timeout
instance_6,1.0,algorithm_13,1.0,timeout
instance_6,1.0,algorithm_19,0.0,ok
instance_6,1.0,algorithm_16,0.0,ok
instance_6,1.0,algorithm_20,1.0,timeout
instance_6,1.0,algorithm_21,0.0,ok
instance_6,1.0,algorithm_5,1.0,timeout
instance_6,1.0,algorithm_11,0.9,ok
instance_6,1.0,algorithm_12,1.0,timeout
instance_6,1.0,algorithm_14,1.0,timeout
instance_6,1.0,algorithm_18,0.0,ok
instance_6,1.0,algorithm_10,1.0,timeout
instance_6,1.0,algorithm_9,1.0,timeout
instance_6,1.0,algorithm_22,0.0,ok
instance_6,1.0,algorithm_8,1.0,timeout
instance_6,1.0,algorithm_7,1.0,timeout
instance_7,1.0,algorithm_15,1.0,timeout
instance_7,1.0,algorithm_17,1.0,timeout
instance_7,1.0,algorithm_6,0.0,ok
