@RELATION Mira

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE feature_3 NUMERIC
@ATTRIBUTE feature_4 NUMERIC
@ATTRIBUTE feature_5 NUMERIC
@ATTRIBUTE feature_6 NUMERIC
@ATTRIBUTE feature_7 NUMERIC
@ATTRIBUTE feature_8 NUMERIC
@ATTRIBUTE feature_9 NUMERIC
@ATTRIBUTE feature_10 NUMERIC
@ATTRIBUTE feature_11 NUMERIC
@ATTRIBUTE feature_12 NUMERIC
@ATTRIBUTE feature_13 NUMERIC
@ATTRIBUTE feature_14 NUMERIC
@ATTRIBUTE feature_15 NUMERIC
@ATTRIBUTE feature_16 NUMERIC
@ATTRIBUTE feature_17 NUMERIC
@ATTRIBUTE feature_18 NUMERIC
@ATTRIBUTE feature_19 NUMERIC
@ATTRIBUTE feature_20 NUMERIC
@ATTRIBUTE feature_21 NUMERIC
@ATTRIBUTE feature_22 NUMERIC
@ATTRIBUTE feature_23 NUMERIC
@ATTRIBUTE feature_24 NUMERIC
@ATTRIBUTE feature_25 NUMERIC
@ATTRIBUTE feature_26 NUMERIC
@ATTRIBUTE feature_27 NUMERIC
@ATTRIBUTE feature_28 NUMERIC
@ATTRIBUTE feature_29 NUMERIC
@ATTRIBUTE feature_30 NUMERIC
@ATTRIBUTE feature_31 NUMERIC
@ATTRIBUTE feature_32 NUMERIC
@ATTRIBUTE feature_33 NUMERIC
@ATTRIBUTE feature_34 NUMERIC
@ATTRIBUTE feature_35 NUMERIC
@ATTRIBUTE feature_36 NUMERIC
@ATTRIBUTE feature_37 NUMERIC
@ATTRIBUTE feature_38 NUMERIC
@ATTRIBUTE feature_39 NUMERIC
@ATTRIBUTE feature_40 NUMERIC
@ATTRIBUTE feature_41 NUMERIC
@ATTRIBUTE feature_42 NUMERIC
@ATTRIBUTE feature_43 NUMERIC
@ATTRIBUTE feature_44 NUMERIC
@ATTRIBUTE feature_45 NUMERIC
@ATTRIBUTE feature_46 NUMERIC
@ATTRIBUTE feature_47 NUMERIC
@ATTRIBUTE feature_48 NUMERIC
@ATTRIBUTE feature_49 NUMERIC
@ATTRIBUTE feature_50 NUMERIC
@ATTRIBUTE feature_51 NUMERIC
@ATTRIBUTE feature_52 NUMERIC
@ATTRIBUTE feature_53 NUMERIC
@ATTRIBUTE feature_54 NUMERIC
@ATTRIBUTE feature_55 NUMERIC
@ATTRIBUTE feature_56 NUMERIC
@ATTRIBUTE feature_57 NUMERIC
@ATTRIBUTE feature_58 NUMERIC
@ATTRIBUTE feature_59 NUMERIC
@ATTRIBUTE feature_60 NUMERIC
@ATTRIBUTE feature_61 NUMERIC
@ATTRIBUTE feature_62 NUMERIC
@ATTRIBUTE feature_63 NUMERIC
@ATTRIBUTE feature_64 NUMERIC
@ATTRIBUTE feature_65 NUMERIC
@ATTRIBUTE feature_66 NUMERIC
@ATTRIBUTE feature_67 NUMERIC
@ATTRIBUTE feature_68 NUMERIC
@ATTRIBUTE feature_69 NUMERIC
@ATTRIBUTE feature_70 NUMERIC
@ATTRIBUTE feature_71 NUMERIC
@ATTRIBUTE feature_72 NUMERIC
@ATTRIBUTE feature_73 NUMERIC
@ATTRIBUTE feature_74 NUMERIC
@ATTRIBUTE feature_75 NUMERIC
@ATTRIBUTE feature_76 NUMERIC
@ATTRIBUTE feature_77 NUMERIC
@ATTRIBUTE feature_78 NUMERIC
@ATTRIBUTE feature_79 NUMERIC
@ATTRIBUTE feature_80 NUMERIC
@ATTRIBUTE feature_81 NUMERIC
@ATTRIBUTE feature_82 NUMERIC
@ATTRIBUTE feature_83 NUMERIC
@ATTRIBUTE feature_84 NUMERIC
@ATTRIBUTE feature_85 NUMERIC
@ATTRIBUTE feature_86 NUMERIC
@ATTRIBUTE feature_87 NUMERIC
@ATTRIBUTE feature_88 NUMERIC
@ATTRIBUTE feature_89 NUMERIC
@ATTRIBUTE feature_90 NUMERIC
@ATTRIBUTE feature_91 NUMERIC
@ATTRIBUTE feature_92 NUMERIC
@ATTRIBUTE feature_93 NUMERIC
@ATTRIBUTE feature_94 NUMERIC
@ATTRIBUTE feature_95 NUMERIC
@ATTRIBUTE feature_96 NUMERIC
@ATTRIBUTE feature_97 NUMERIC
@ATTRIBUTE feature_98 NUMERIC
@ATTRIBUTE feature_99 NUMERIC
@ATTRIBUTE feature_100 NUMERIC
@ATTRIBUTE feature_101 NUMERIC
@ATTRIBUTE feature_102 NUMERIC
@ATTRIBUTE feature_103 NUMERIC
@ATTRIBUTE feature_104 NUMERIC
@ATTRIBUTE feature_105 NUMERIC
@ATTRIBUTE feature_106 NUMERIC
@ATTRIBUTE feature_107 NUMERIC
@ATTRIBUTE feature_108 NUMERIC
@ATTRIBUTE feature_109 NUMERIC
@ATTRIBUTE feature_110 NUMERIC
@ATTRIBUTE feature_111 NUMERIC
@ATTRIBUTE feature_112 NUMERIC
@ATTRIBUTE feature_113 NUMERIC
@ATTRIBUTE feature_114 NUMERIC
@ATTRIBUTE feature_115 NUMERIC
@ATTRIBUTE feature_116 NUMERIC
@ATTRIBUTE feature_117 NUMERIC
@ATTRIBUTE feature_118 NUMERIC
@ATTRIBUTE feature_119 NUMERIC
@ATTRIBUTE feature_120 NUMERIC
@ATTRIBUTE feature_121 NUMERIC
@ATTRIBUTE feature_122 NUMERIC
@ATTRIBUTE feature_123 NUMERIC
@ATTRIBUTE feature_124 NUMERIC
@ATTRIBUTE feature_125 NUMERIC
@ATTRIBUTE feature_126 NUMERIC
@ATTRIBUTE feature_127 NUMERIC
@ATTRIBUTE feature_128 NUMERIC
@ATTRIBUTE feature_129 NUMERIC
@ATTRIBUTE feature_130 NUMERIC
@ATTRIBUTE feature_131 NUMERIC
@ATTRIBUTE feature_132 NUMERIC
@ATTRIBUTE feature_133 NUMERIC
@ATTRIBUTE feature_134 NUMERIC
@ATTRIBUTE feature_135 NUMERIC
@ATTRIBUTE feature_136 NUMERIC
@ATTRIBUTE feature_137 NUMERIC
@ATTRIBUTE feature_138 NUMERIC
@ATTRIBUTE feature_139 NUMERIC
@ATTRIBUTE feature_140 NUMERIC
@ATTRIBUTE feature_141 NUMERIC
@ATTRIBUTE feature_142 NUMERIC
@ATTRIBUTE feature_143 NUMERIC

@DATA
instance_2,1.0,1.0,18380.0,576.0,109706.0,0.0,0.0,0.0,0.450623,8.05005,186.854,1.56641,11036.0,7344.0,0.0,0.0,0.0,0.600435,0.399565,0.0,0.0,0.0,18380.0,1.0,0.0,0.0,1.91534,2.0,2.86476,1.0,0.0,0.0,0.333333,1.41421,-512.0,-512.0,190.462,141.0,1.02056,635.0,5.96877,3.0,0.707482,8.0,7145.97,2.86776,223.943,0.552627,1.0,0.0,0.41628,0.468841,0.00821545,0.827958,3.85702e-05,0.00388713,0.000562913,0.0567308,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,190.462,141.0,1.02056,635.0,5.96877,3.0,0.707482,8.0,7145.97,2.86776,223.943,0.552627,1.0,0.0,0.41628,0.468841,0.00821545,0.827958,3.85702e-05,0.00388713,0.000562913,0.0567308,0.918443,0.0,19.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.04,-512.0,406.0,4761.0,40636.0,2653.0,19.0,131.0,0.0,195.0,1.0
instance_5,1.0,1.0,1620.0,3285.0,17073.0,0.0,0.0,0.0,0.0849456,0.160542,0.498706,0.0,1620.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1620.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.55238,0.989919,1.30303,0.667567,0.0132159,11.1853,5.19726,2.0,1.15207,8.0,10.5389,8.0,0.514333,8.0,3.50411,1.9796,7.10556,0.508834,0.646552,0.433852,0.00327341,20.8739,0.000617284,0.0248375,0.000123457,0.00496751,0.000276058,0.0111077,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,5.19726,2.0,1.15207,8.0,10.5389,8.0,0.514333,8.0,3.50411,1.9796,7.10556,0.508834,0.646552,0.433852,0.00327341,20.8739,0.000617284,0.0248375,0.000123457,0.00496751,0.000276058,0.0111077,1.0,8.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.01,-512.0,1989.0,1620.0,14562.0,6854.0,0.0,0.0,0.0,0.0,0.0
instance_7,1.0,1.0,1335.0,3047.0,16108.0,0.0,0.0,0.0,0.0809619,0.148948,0.5,0.0,1335.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1335.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.50818,0.894264,1.28159,0.642883,0.0197605,9.77812,5.28651,2.0,1.06707,12.0,12.0659,11.0,0.432359,9.0,3.76961,1.74751,8.60375,0.411125,0.646821,0.413967,0.0486423,3.91912,0.000749064,0.0273588,7.49064e-05,0.00273588,0.000236875,0.0086516,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,5.28651,2.0,1.06707,12.0,12.0659,11.0,0.432359,9.0,3.76961,1.74751,8.60375,0.411125,0.646821,0.413967,0.0486423,3.91912,0.000749064,0.0273588,7.49064e-05,0.00273588,0.000236875,0.0086516,1.0,39.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.03,-512.0,1771.0,1219.0,12207.0,5143.0,0.0,1.0,0.0,0.0,0.0
instance_8,1.0,1.0,2728.0,1442.0,6783.0,0.0,0.0,0.0,0.00604672,0.0447846,0.5,1005.66,1364.0,0.0,1364.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1364.0,0.5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.37179,0.913632,-512.0,-512.0,1.89182,1.0,2.92144,0.0,2.0,2.0,0.0,0.0,-52.1096,-0.591275,-55.0894,-0.477925,1.0,0.0,0.00206335,11.896,169.089,118.48,84.5444,59.2402,119.564,83.7783,2.81207,1.0,3.92856,0.0,2.97287,3.0,0.0546444,0.0,0.971567,0.506962,1.02713,0.158161,0.00337397,99.7667,0.00278414,9.53069,0.0,0.0,0.0,0.0,0.0,0.0,4.70388,2.0,2.54969,0.0,2.48644,2.0,0.201017,1.0,-51.138,-0.601043,-27.0312,-1.24571,0.338614,1.60921,0.905248,0.219618,84.5444,119.023,42.2722,59.5117,59.7819,84.1622,0.0732647,317.0,0.0,9.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.01,-512.0,1405.0,2691.0,6709.0,39.0,0.0,38.0,56.0,47.0,2.0
instance_9,1.0,1.0,8904.0,823.0,72965.0,0.0,0.0,0.0,0.00587857,0.0420144,0.497437,55535.4,8904.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8904.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,-512.0,-512.0,1.0,0.0,-512.0,-512.0,88.6574,75.0,0.648956,144.0,8.19463,8.0,0.275334,6.0,88.6574,0.648956,8.19463,0.275334,1.0,0.0,0.29603,1.52798,576.724,267.554,72.718,38.0866,202.431,93.3848,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,88.6574,75.0,0.648956,144.0,8.19463,8.0,0.275334,6.0,88.6574,0.648956,8.19463,0.275334,1.0,0.0,0.29603,1.52798,576.724,267.554,72.718,38.0866,202.431,93.3848,0.00553033,210.0,34.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.05,-512.0,614.0,7564.0,48620.0,8219.0,34.0,0.0,0.0,0.0,0.0
instance_12,1.0,1.0,48738.0,21732.0,257532.0,0.0,0.0,0.0,6.42008,800.727,99999.0,81.2432,46667.0,106.0,1965.0,0.0,0.0,0.957507,0.00217489,0.0403176,0.0,0.0,46773.0,0.959682,0.0,0.0,4820850.0,2.0,21.0821,0.0,30.3456,54.4939,0.0846045,3.28933,-0.448276,-1.1094,10.8841,5.0,2.30373,17.0,5.05704,2.0,3.94144,2.0,4.8921,3.7831,2.273,20.4837,0.264289,1.52967,0.685305,1.21052,0.0174077,0.438261,0.000236253,0.00733633,0.00190236,0.0523975,0.966271,1.0,1.48338,2.0,10.6865,4.0,2.8702,11.0,-0.683261,-1.98537,-7.55655,-4.07583,-0.415513,-1.03268,0.0941111,3.1943,0.0,0.0,0.0,0.0,0.0,0.0,11.8504,6.0,2.1937,18.0,5.28401,2.0,3.88044,2.0,4.20884,4.15397,1.8767,24.548,0.181163,2.56284,0.750455,1.02327,0.0167059,0.429349,0.000226728,0.00718707,0.00182566,0.0513317,1.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.44,-512.0,19391.0,17288.0,178761.0,57646.0,0.0,0.0,0.0,0.0,0.0
instance_15,1.0,1.0,1083.0,1532.0,4507.0,0.0,0.0,0.0,0.147894,0.238987,0.5,52.0,794.0,0.0,289.0,0.0,0.0,0.733149,0.0,0.266851,0.0,0.0,794.0,0.733149,0.0,0.0,2.0,2.0,0.0,0.0,-512.0,-512.0,100.0,0.0,-23.9745,-2.15292,1.34595,1.0,1.1469,4.0,2.59698,2.0,1.02089,0.0,-26.3342,-1.8325,-50.8111,-1.10596,-512.0,-512.0,0.00812647,8.40594,0.0604534,0.238325,0.00774956,0.0423508,0.0201117,0.0857034,1.59595,2.0,0.502905,2.0,8.46021,8.0,0.38259,10.0,0.000652742,39.128,0.00346021,1450.59,3.02115e-05,10988.9,0.000652742,39.128,0.00346021,0.0587217,0.00346021,0.0587217,0.00346021,0.0587217,2.94191,3.0,0.280042,2.0,4.16159,2.0,0.920504,8.0,-26.3336,-1.83255,-37.2512,-1.42735,3.02115e-05,10988.9,0.576515,1.04519,0.0452447,0.20784,0.00660494,0.0473153,0.0156682,0.0797461,0.169811,4395.0,0.0,66.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.01,-512.0,1316.0,965.0,4053.0,3.0,0.0,0.0,104.0,207.0,55.0
instance_18,1.0,1.0,2298.0,1026.0,4496.0,0.0,0.0,0.0,0.0534401,0.12473,0.365491,6637.19,170.0,0.0,2128.0,0.0,0.0,0.0739774,0.0,0.926023,0.0,0.0,170.0,0.0739774,0.0,0.0,2.0,2.0,0.0,0.0,84.34,0.0,0.0885827,3.57736,-512.0,-512.0,0.331384,0.0,5.11457,1.0,2.0,2.0,0.0,0.0,3.42758,9.58824,20.6865,0.293036,0.233418,0.307921,0.00300118,10.0797,19.6865,6.06188,9.84324,3.03094,13.9204,4.2864,4.05068,5.0,0.590162,3.0,1.95301,2.0,0.439427,2.0,-0.0974659,-30.9101,-0.0469925,-18.2626,1.0,0.0,0.0277168,4.3674,42332.3,201249.0,42308.6,201254.0,42317.2,201252.0,4.38207,5.0,0.584731,3.0,1.95648,2.0,0.422156,2.0,3.33012,9.91027,1.48681,3.85482,0.85616,0.35146,0.0300288,4.07265,39202.1,193979.0,39179.4,193983.0,39187.8,193981.0,9.82527e-05,2904.0,0.0,243.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,823.0,2019.0,4012.0,10.0,0.0,0.0,0.0,29.0,0.0
instance_19,1.0,1.0,5831.0,175620.0,869391.0,0.0,0.0,0.0,0.0605064,0.144932,0.5,154.39,5831.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5831.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.99955,0.0212254,0.0,3843530000.0,-0.176471,-3.49603,4.95041,5.0,0.366945,2.0,149.098,160.0,0.255996,96.0,7473.92,115.389,225102.0,21.7683,0.574814,1.25825,0.204428,1.62103,4.15966,60.0711,0.390156,5.65043,1.2731,18.3974,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,4.95041,5.0,0.366945,2.0,149.098,160.0,0.255996,96.0,7473.92,115.389,225102.0,21.7683,0.574814,1.25825,0.204428,1.62103,4.15966,60.0711,0.390156,5.65043,1.2731,18.3974,1.0,0.0,0.0,0.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,2.15,-512.0,158897.0,5367.0,774481.0,-512.0,0.0,0.0,0.0,0.0,0.0
instance_20,1.0,1.0,16021.0,1128.0,200601.0,0.0,0.0,0.0,0.00165691,0.021401,0.5,5891.23,15806.0,0.0,215.0,0.0,0.0,0.98658,0.0,0.0134199,0.0,0.0,15806.0,0.98658,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-512.0,-512.0,177.647,21.0,3.67248,446.0,12.6778,12.0,0.390148,14.0,-2728.53,-43.8355,-194.722,-0.652208,1.0,0.0,0.469182,2.92548,0.0,0.0,0.0,0.0,0.0,0.0,0.190603,0.0,2.06071,1.0,1.0,1.0,0.0,0.0,-0.18883,-2.08459,-0.990698,-0.137359,-512.0,-512.0,0.0,0.0,0.00465116,0.0680406,0.00465116,0.0680406,0.00465116,0.0680406,177.838,21.0,3.66967,447.0,12.5211,12.0,0.406782,14.0,-2728.72,-43.8325,-192.122,-0.666756,1.0,0.0,0.470252,3.02109,6.24181e-05,0.00790026,6.24181e-05,0.00790026,6.24181e-05,0.00790026,0.0481688,0.0,0.0,23.0,-512.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,0.0,-512.0,-512.0,-512.0,-512.0,0.15,-512.0,1110.0,14117.0,164106.0,906.0,0.0,52.0,1.0,102.0,32.0
